"NMF1"	"NMF2"	"NMF3"	"NMF4"	"NMF5"	"NMF6"	"NMF7"	"NMF8"	"NMF9"	"NMF10"	"NMF11"	"NMF12"	"NMF13"
"A2M_FORALL_001"	-1.61281332303285	0.598200978956392	-0.476376498903469	3.36630640137612	1.55260441433831	-1.9992739983087	-0.310503744740549	5.69362244573882	-1.82043551695801	-0.592957921629383	-0.628435112217218	1.60031176953265	-2.33867500024199
"A2M_FORALL_002"	-0.481835677406899	1.45323061587503	-1.97991258007455	2.28170869165118	2.41808350311573	-1.65623598729691	-1.06475162373948	6.93172495157498	-1.25584673511949	-1.81947317362899	-2.16692687932934	1.41731137005236	-0.893502191408931
"A2M_FORALL_016"	-2.94210536333182	1.14897509213788	-1.49212783349954	2.83648067702149	2.64561651941567	-2.13871218537617	0.589607606108357	2.0117614449127	-2.14501227618418	-0.432974397236282	1.31997683079286	0.440524003250084	-1.45736876908949
"A2M_FORALL_021"	-1.13299326609437	0.487848338674086	-0.779956627443231	2.8975489979823	1.81228653241	-2.4060421807528	-0.475930600351236	5.99042750701607	-1.75597181712154	-0.138925763016529	-0.859834229686381	1.71157946204719	-2.06893737607677
"A2M_FORALL_030"	-2.69042039637753	1.338874992329	-0.343337518481164	2.01335837673184	3.0046694645919	-3.09042474088193	1.75357439798274	4.57948568876683	-1.67227090445617	-0.412884851161907	-1.11845196283764	2.45683201641876	-3.02241841204144
"A2M_FORALL_054"	-0.795648690407013	1.04661715484996	-1.6205202188923	2.33417373932813	2.57959448536069	-1.62334815481116	-0.961743869498706	6.68229481972886	-1.21643520283552	-1.14408461709255	-2.05989819419702	1.78592221976346	-1.47194324160928
"A2M_FORALL_087"	-1.3409529056098	1.00140436341299	-1.12286670241817	2.0111745176893	2.01689219572784	-2.30727312494899	-0.541031049870814	5.88287364241243	-1.29992465256171	-0.91794856824287	-0.754226735487104	1.85262073925745	-1.46983451732021
"A2M_FORALL_098"	-3.23742254138115	0.118331379341029	-1.15456828630174	2.96047201421414	1.98935062620629	-2.101430799701	2.25138817878164	1.42002642646914	-3.07171898055528	0.662663762292466	1.24568434274517	0.833072049024464	-1.85762593195239
"A2M_FORALL_104"	-0.673679039240866	1.22898794622258	-0.970034040736155	2.31540744478098	2.40730492235807	-2.05479983044249	-0.496080300454073	6.59003585904888	-1.753002852695	-1.46292938703756	-1.83739805033361	2.00373514185872	-1.66149657233861
"A2M_FORALL_105"	-2.22818831116931	1.41171103076921	-1.77540872830195	4.03307617069184	2.26385245528509	-1.9130267301627	-1.13255821203097	3.62419994712759	-1.42944878931065	-1.82442212808244	0.35910450617007	-0.0914784415803088	-0.522449807534382
