"V1"	"V2"	"complex"	"location_V1"	"location_V2"
"9998"	"MRPS27"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"9999"	"MRPS27"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10000"	"MRPS30"	"MRPS27"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10001"	"MRPS27"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10002"	"MRPS33"	"MRPS27"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10003"	"MRPS28"	"MRPS27"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10004"	"MRPS27"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10005"	"MRPS7"	"MRPS27"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10006"	"MRPS27"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10007"	"MRPS27"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10008"	"MRPS27"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10009"	"MRPS27"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10010"	"MRPS27"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10011"	"MRPS31"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10012"	"MRPS31"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10013"	"MRPS31"	"MRPS30"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10014"	"MRPS31"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10015"	"MRPS33"	"MRPS31"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10016"	"MRPS31"	"MRPS28"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10017"	"MRPS31"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10018"	"MRPS7"	"MRPS31"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10019"	"MRPS31"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10020"	"MRPS31"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10021"	"MRPS31"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10022"	"MRPS31"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10023"	"MRPS31"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10024"	"MRPS26"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10025"	"MRPS30"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10026"	"MRPS24"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10027"	"MRPS33"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10028"	"MRPS28"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10029"	"MRPS24"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10030"	"MRPS7"	"MRPS24"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10031"	"MRPS24"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10032"	"MRPS24"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10033"	"MRPS24"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10034"	"MRPS24"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10035"	"MRPS24"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10036"	"MRPS30"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10037"	"MRPS26"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10038"	"MRPS33"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10039"	"MRPS28"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10040"	"MRPS26"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10041"	"MRPS7"	"MRPS26"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10042"	"MRPS26"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10043"	"MRPS26"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10044"	"MRPS26"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10045"	"MRPS26"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10046"	"MRPS26"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10047"	"MRPS30"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10048"	"MRPS33"	"MRPS30"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10049"	"MRPS30"	"MRPS28"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10050"	"MRPS30"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10051"	"MRPS7"	"MRPS30"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10052"	"MRPS30"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10053"	"MRPS30"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10054"	"MRPS30"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10055"	"MRPS30"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10056"	"MRPS30"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10057"	"MRPS33"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10058"	"MRPS28"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10059"	"MRPS18A"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10060"	"MRPS7"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10061"	"MRPS2"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10062"	"MRPS18A"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10063"	"MRPS18C"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10064"	"MRPS23"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10065"	"MRPS18B"	"MRPS18A"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10066"	"MRPS33"	"MRPS28"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10067"	"MRPS33"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	NA	NA
"10068"	"MRPS7"	"MRPS33"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10069"	"MRPS33"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10070"	"MRPS33"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10071"	"MRPS33"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	NA	NA
"10072"	"MRPS33"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10073"	"MRPS33"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10074"	"MRPS28"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10075"	"MRPS7"	"MRPS28"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10076"	"MRPS28"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10077"	"MRPS28"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10078"	"MRPS28"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10079"	"MRPS28"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10080"	"MRPS28"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10081"	"MRPS7"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10082"	"MRPS2"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10083"	"MRPS17"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10084"	"MRPS18C"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	NA	NA
"10085"	"MRPS23"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10086"	"MRPS18B"	"MRPS17"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10087"	"MRPS7"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10088"	"MRPS7"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10089"	"MRPS7"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10090"	"MRPS7"	"MRPS23"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10091"	"MRPS7"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10092"	"MRPS2"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10093"	"MRPS2"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10094"	"MRPS23"	"MRPS2"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10095"	"MRPS2"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10096"	"MRPS18C"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10097"	"MRPS23"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10098"	"MRPS18B"	"MRPS16"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10099"	"MRPS23"	"MRPS18C"	"28S ribosomal subunit, mitochondrial"	"Secretory"	NA
"10100"	"MRPS18C"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	NA	"Secretory"
"10101"	"MRPS23"	"MRPS18B"	"28S ribosomal subunit, mitochondrial"	"Secretory"	"Secretory"
"10103"	"MRPS12"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10104"	"MRPS12"	"MRPL3"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10105"	"MRPS12"	"MRPL19"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10107"	"MRPS12"	"MRPL12"	"55S ribosome, mitochondrial"	NA	NA
"10120"	"MRPS12"	"LACTB"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10121"	"MRPS12"	"MRPL28"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10122"	"MRPS12"	"MRPL49"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10123"	"MRPS12"	"MRPL23"	"55S ribosome, mitochondrial"	NA	NA
"10124"	"MRPS12"	"MRPL51"	"55S ribosome, mitochondrial"	NA	NA
"10125"	"MRPS12"	"MRPL2"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10126"	"MRPS12"	"MRPL54"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10127"	"MRPS12"	"MRPL14"	"55S ribosome, mitochondrial"	NA	NA
"10128"	"MRPS12"	"MRPL21"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10129"	"MRPS12"	"MRPL55"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10130"	"MRPS12"	"MRPL10"	"55S ribosome, mitochondrial"	NA	NA
"10131"	"MRPS12"	"MRPL52"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10132"	"MRPS12"	"MRPL41"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10133"	"MRPS12"	"MRPL50"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10134"	"MRPS12"	"MRPL43"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10135"	"MRPS12"	"MRPL30"	"55S ribosome, mitochondrial"	NA	NA
"10138"	"MRPS12"	"MRPL24"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10139"	"MRPS12"	"MRPL38"	"55S ribosome, mitochondrial"	NA	NA
"10141"	"MRPS12"	"MRPL53"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10142"	"MRPS12"	"MRPL48"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10143"	"MRPS12"	"MRPL34"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10144"	"MRPS12"	"MRPL45"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10145"	"MRPS12"	"MRPL32"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10146"	"MRPS12"	"MRPL20"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10147"	"MRPS12"	"MRPL13"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10148"	"MRPS12"	"MRPL9"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10149"	"MRPS12"	"MRPL4"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10150"	"MRPS12"	"MRPL1"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10152"	"MRPS12"	"MRPL37"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10153"	"MRPS12"	"MRPL18"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10154"	"MRPS12"	"MRPL46"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10155"	"MRPS12"	"MRPL44"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10156"	"MRPS12"	"MRPL47"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10158"	"MRPS12"	"MRPL40"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10159"	"MRPS12"	"MRPL17"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10161"	"MRPS12"	"MRPL22"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10162"	"MRPS12"	"MRPL16"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10163"	"MRPS12"	"MRPL39"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10164"	"MRPS12"	"MRPL35"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10165"	"MRPS12"	"MRPL15"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10166"	"MRPS12"	"MRPL36"	"55S ribosome, mitochondrial"	NA	NA
"10167"	"MRPS12"	"MRPL27"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10173"	"MRPS12"	"MRPL11"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10178"	"MRPS12"	"MRPL42"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10179"	"MRPS14"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10180"	"MRPS14"	"MRPL3"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10181"	"MRPS14"	"MRPL19"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10183"	"MRPS14"	"MRPL12"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10196"	"MRPS14"	"LACTB"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10197"	"MRPS14"	"MRPL28"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10198"	"MRPS14"	"MRPL49"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10199"	"MRPS14"	"MRPL23"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10200"	"MRPS14"	"MRPL51"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10201"	"MRPS14"	"MRPL2"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10202"	"MRPS14"	"MRPL54"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10203"	"MRPS14"	"MRPL14"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10204"	"MRPS14"	"MRPL21"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10205"	"MRPS14"	"MRPL55"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10206"	"MRPS14"	"MRPL10"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10207"	"MRPS14"	"MRPL52"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10208"	"MRPS14"	"MRPL41"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10209"	"MRPS14"	"MRPL50"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10210"	"MRPS14"	"MRPL43"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10211"	"MRPS14"	"MRPL30"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10214"	"MRPS14"	"MRPL24"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10215"	"MRPS14"	"MRPL38"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10217"	"MRPS14"	"MRPL53"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10218"	"MRPS14"	"MRPL48"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10219"	"MRPS14"	"MRPL34"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10220"	"MRPS14"	"MRPL45"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10221"	"MRPS14"	"MRPL32"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10222"	"MRPS14"	"MRPL20"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10223"	"MRPS14"	"MRPL13"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10224"	"MRPS14"	"MRPL9"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10225"	"MRPS14"	"MRPL4"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10226"	"MRPS14"	"MRPL1"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10228"	"MRPS14"	"MRPL37"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10229"	"MRPS14"	"MRPL18"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10230"	"MRPS14"	"MRPL46"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10231"	"MRPS14"	"MRPL44"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10232"	"MRPS14"	"MRPL47"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10234"	"MRPS14"	"MRPL40"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10235"	"MRPS14"	"MRPL17"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10237"	"MRPS14"	"MRPL22"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10238"	"MRPS14"	"MRPL16"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10239"	"MRPS14"	"MRPL39"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10240"	"MRPS14"	"MRPL35"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10241"	"MRPS14"	"MRPL15"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10242"	"MRPS14"	"MRPL36"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10243"	"MRPS14"	"MRPL27"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10249"	"MRPS14"	"MRPL11"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10254"	"MRPS14"	"MRPL42"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10255"	"MRPL33"	"MRPL3"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10256"	"MRPL33"	"MRPL19"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10257"	"MRPL33"	"DAP3"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10258"	"MRPL33"	"MRPL12"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10259"	"MRPS22"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10260"	"MRPS25"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10261"	"MRPS10"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10262"	"MRPS35"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10263"	"MRPS5"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10264"	"MRPL33"	"KGD4"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10265"	"MRPS11"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10266"	"MRPS15"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10267"	"MRPS21"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10268"	"MRPS34"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10269"	"MRPS6"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10270"	"MRPS9"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10271"	"MRPL33"	"LACTB"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10272"	"MRPL33"	"MRPL28"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10273"	"MRPL49"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10274"	"MRPL33"	"MRPL23"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10275"	"MRPL51"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10276"	"MRPL33"	"MRPL2"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10277"	"MRPL54"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10278"	"MRPL33"	"MRPL14"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10279"	"MRPL33"	"MRPL21"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10280"	"MRPL55"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10281"	"MRPL33"	"MRPL10"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10282"	"MRPL52"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10283"	"MRPL41"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10284"	"MRPL50"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10285"	"MRPL43"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10286"	"MRPL33"	"MRPL30"	"55S ribosome, mitochondrial"	"Secretory"	NA
"10287"	"MRPS27"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10288"	"MRPS31"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10289"	"MRPL33"	"MRPL24"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10290"	"MRPL38"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10291"	"MRPS24"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10292"	"MRPL53"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10293"	"MRPL48"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10294"	"MRPL34"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10295"	"MRPL45"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10296"	"MRPL33"	"MRPL32"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10297"	"MRPL33"	"MRPL20"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10298"	"MRPL33"	"MRPL13"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10299"	"MRPL9"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10300"	"MRPL4"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10301"	"MRPL33"	"MRPL1"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10302"	"MRPS26"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10303"	"MRPL37"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10304"	"MRPL33"	"MRPL18"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10305"	"MRPL46"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10306"	"MRPL44"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10307"	"MRPL47"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10308"	"MRPS30"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10309"	"MRPL40"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10310"	"MRPL33"	"MRPL17"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10311"	"MRPS18A"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10312"	"MRPL33"	"MRPL22"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10313"	"MRPL33"	"MRPL16"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10314"	"MRPL39"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10315"	"MRPL35"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10316"	"MRPL33"	"MRPL15"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10317"	"MRPL36"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10318"	"MRPL33"	"MRPL27"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10319"	"MRPS33"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10320"	"MRPS28"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10321"	"MRPS17"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10322"	"MRPS7"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10323"	"MRPS2"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10324"	"MRPL33"	"MRPL11"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10325"	"MRPS16"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10326"	"MRPS18C"	"MRPL33"	"55S ribosome, mitochondrial"	NA	"Secretory"
"10327"	"MRPS23"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
"10328"	"MRPS18B"	"MRPL33"	"55S ribosome, mitochondrial"	"Secretory"	"Secretory"
