"X..Interactor.1.uniprot.id"	"Interactor.1.Ensembl.gene.id"	"Interactor.1.Entrez.Gene.id"	"Interactor.2.uniprot.id"	"Interactor.2.Ensembl.gene.id"	"Interactor.2.Entrez.Gene.id"	"Interaction.type"	"Interaction.context"	"Pubmed.references"	"gene_symbol1"	"gene_symbol2"
"263"	"P01854"	"ENSEMBL:ENSG00000211891|ENSEMBL:ENSG00000276192|ENSEMBL:ENSP00000492979|ENSEMBL:ENSP00000481089|ENSEMBL:ENSP00000374983|ENSEMBL:ENST00000641420|ENSEMBL:ENST00000390541|ENSEMBL:ENST00000610670"	"-"	"P12319"	"ENSEMBL:ENSG00000179639|ENSEMBL:ENSG00000291905|ENSEMBL:ENSP00000509626|ENSEMBL:ENSP00000517534|ENSEMBL:ENSP00000517536|ENSEMBL:ENSP00000357097|ENSEMBL:ENST00000709171|ENSEMBL:ENST00000693622|ENSEMBL:ENST00000709173|ENSEMBL:ENST00000368115"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"IGHE"	"FCER1A"
"265"	"Q01362"	"ENSEMBL:ENST00000278888|ENSEMBL:ENSP00000278888|ENSEMBL:ENSG00000149534"	"-"	"P30273"	"ENSEMBL:ENST00000289902|ENSEMBL:ENSP00000289902|ENSEMBL:ENSG00000158869"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"MS4A2"	"FCER1G"
"267"	"P30273"	"ENSEMBL:ENST00000289902|ENSEMBL:ENSP00000289902|ENSEMBL:ENSG00000158869"	"-"	"P12319"	"ENSEMBL:ENSG00000179639|ENSEMBL:ENSG00000291905|ENSEMBL:ENSP00000509626|ENSEMBL:ENSP00000517534|ENSEMBL:ENSP00000517536|ENSEMBL:ENSP00000357097|ENSEMBL:ENST00000709171|ENSEMBL:ENST00000693622|ENSEMBL:ENST00000709173|ENSEMBL:ENST00000368115"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"FCER1G"	"FCER1A"
"268"	"P01854"	"ENSEMBL:ENSG00000211891|ENSEMBL:ENSG00000276192|ENSEMBL:ENSP00000492979|ENSEMBL:ENSP00000481089|ENSEMBL:ENSP00000374983|ENSEMBL:ENST00000641420|ENSEMBL:ENST00000390541|ENSEMBL:ENST00000610670"	"-"	"Q01362"	"ENSEMBL:ENST00000278888|ENSEMBL:ENSP00000278888|ENSEMBL:ENSG00000149534"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"MS4A2"	"IGHE"
"269"	"P01854"	"ENSEMBL:ENSG00000211891|ENSEMBL:ENSG00000276192|ENSEMBL:ENSP00000492979|ENSEMBL:ENSP00000481089|ENSEMBL:ENSP00000374983|ENSEMBL:ENST00000641420|ENSEMBL:ENST00000390541|ENSEMBL:ENST00000610670"	"-"	"P30273"	"ENSEMBL:ENST00000289902|ENSEMBL:ENSP00000289902|ENSEMBL:ENSG00000158869"	"-"	"physical association"	"reactome:R-HSA-2685660"	"24243840"	"IGHE"	"FCER1G"
"270"	"Q7Z3Y9"	"ENSEMBL:ENST00000335552|ENSEMBL:ENSP00000334798|ENSEMBL:ENSG00000186393"	"-"	"Q7Z3Z0"	"ENSEMBL:ENST00000312150|ENSEMBL:ENSP00000310573|ENSEMBL:ENSG00000204897"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT26"	"KRT25"
"272"	"Q7Z3Y7"	"ENSEMBL:ENST00000306658|ENSEMBL:ENSP00000305263|ENSEMBL:ENSG00000173908"	"-"	"Q7Z3Z0"	"ENSEMBL:ENST00000312150|ENSEMBL:ENSP00000310573|ENSEMBL:ENSG00000204897"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT28"	"KRT25"
"273"	"Q7Z3Y8"	"ENSEMBL:ENST00000301656|ENSEMBL:ENSP00000301656|ENSEMBL:ENSG00000171446"	"-"	"Q7Z3Z0"	"ENSEMBL:ENST00000312150|ENSEMBL:ENSP00000310573|ENSEMBL:ENSG00000204897"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT27"	"KRT25"
"274"	"Q7Z3Z0"	"ENSEMBL:ENST00000312150|ENSEMBL:ENSP00000310573|ENSEMBL:ENSG00000204897"	"-"	"P20930"	"ENSEMBL:ENST00000368799|ENSEMBL:ENSP00000357789|ENSEMBL:ENSG00000143631"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT25"	"FLG"
"275"	"Q7Z3Y7"	"ENSEMBL:ENST00000306658|ENSEMBL:ENSP00000305263|ENSEMBL:ENSG00000173908"	"-"	"P20930"	"ENSEMBL:ENST00000368799|ENSEMBL:ENSP00000357789|ENSEMBL:ENSG00000143631"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT28"	"FLG"
"277"	"Q7Z3Y9"	"ENSEMBL:ENST00000335552|ENSEMBL:ENSP00000334798|ENSEMBL:ENSG00000186393"	"-"	"P20930"	"ENSEMBL:ENST00000368799|ENSEMBL:ENSP00000357789|ENSEMBL:ENSG00000143631"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT26"	"FLG"
"278"	"Q7Z3Y7"	"ENSEMBL:ENST00000306658|ENSEMBL:ENSP00000305263|ENSEMBL:ENSG00000173908"	"-"	"Q7Z3Y9"	"ENSEMBL:ENST00000335552|ENSEMBL:ENSP00000334798|ENSEMBL:ENSG00000186393"	"-"	"physical association"	"reactome:R-HSA-6814323"	"7543090"	"KRT28"	"KRT26"
