"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"48120"	"9606.ENSP00000220514"	"9606.ENSP00000370214"	499	"OIP5"	"CENPO"
"48127"	"9606.ENSP00000220514"	"9606.ENSP00000244537"	499	"OIP5"	"H4C6"
"48128"	"9606.ENSP00000220514"	"9606.ENSP00000273853"	814	"OIP5"	"CENPC"
"48131"	"9606.ENSP00000220514"	"9606.ENSP00000309790"	998	"OIP5"	"MIS18BP1"
"48135"	"9606.ENSP00000220514"	"9606.ENSP00000379911"	499	"OIP5"	"CENPK"
"48136"	"9606.ENSP00000220514"	"9606.ENSP00000348527"	499	"OIP5"	"CENPL"
"48146"	"9606.ENSP00000220562"	"9606.ENSP00000363398"	900	"EXTL3"	"EXTL1"
"48151"	"9606.ENSP00000220562"	"9606.ENSP00000359131"	900	"EXTL3"	"EXTL2"
"48177"	"9606.ENSP00000220562"	"9606.ENSP00000261797"	462	"NDST1"	"EXTL3"
"48181"	"9606.ENSP00000220592"	"9606.ENSP00000401878"	470	"KBTBD8"	"AGO2"
"48187"	"9606.ENSP00000220592"	"9606.ENSP00000398698"	483	"TNF"	"AGO2"
"48189"	"9606.ENSP00000220592"	"9606.ENSP00000312356"	540	"TRMT10C"	"AGO2"
"48190"	"9606.ENSP00000220592"	"9606.ENSP00000436864"	424	"CELF1"	"AGO2"
"48192"	"9606.ENSP00000220592"	"9606.ENSP00000370625"	499	"POLR2B"	"AGO2"
"48196"	"9606.ENSP00000220592"	"9606.ENSP00000366618"	499	"H2BC13"	"AGO2"
"48199"	"9606.ENSP00000220592"	"9606.ENSP00000385269"	988	"ELAVL1"	"AGO2"
"48203"	"9606.ENSP00000220592"	"9606.ENSP00000364289"	926	"NCBP1"	"AGO2"
"48207"	"9606.ENSP00000220592"	"9606.ENSP00000280154"	528	"PDCD4"	"AGO2"
"48211"	"9606.ENSP00000220592"	"9606.ENSP00000373657"	900	"NCBP3"	"AGO2"
"48214"	"9606.ENSP00000220592"	"9606.ENSP00000349430"	499	"H2BC12"	"AGO2"
"48219"	"9606.ENSP00000220592"	"9606.ENSP00000275034"	420	"PHIP"	"AGO2"
"48220"	"9606.ENSP00000220592"	"9606.ENSP00000478982"	900	"RPP38"	"AGO2"
"48222"	"9606.ENSP00000220592"	"9606.ENSP00000307181"	900	"RAMAC"	"AGO2"
"48227"	"9606.ENSP00000220592"	"9606.ENSP00000466111"	900	"RNMT"	"AGO2"
"48229"	"9606.ENSP00000220592"	"9606.ENSP00000395772"	457	"GNL3"	"AGO2"
"48230"	"9606.ENSP00000220592"	"9606.ENSP00000497737"	459	"EDC3"	"AGO2"
"48235"	"9606.ENSP00000220592"	"9606.ENSP00000256078"	560	"KRAS"	"AGO2"
"48236"	"9606.ENSP00000220592"	"9606.ENSP00000265351"	931	"XPO5"	"AGO2"
"48239"	"9606.ENSP00000220592"	"9606.ENSP00000495413"	420	"TRIM66"	"AGO2"
"48240"	"9606.ENSP00000220592"	"9606.ENSP00000275493"	924	"EGFR"	"AGO2"
"48248"	"9606.ENSP00000220592"	"9606.ENSP00000478754"	998	"DDX6"	"AGO2"
"48249"	"9606.ENSP00000220592"	"9606.ENSP00000301764"	412	"DDB1"	"AGO2"
"48251"	"9606.ENSP00000220592"	"9606.ENSP00000464050"	587	"DDX42"	"AGO2"
"48252"	"9606.ENSP00000220592"	"9606.ENSP00000341094"	499	"H2AC7"	"AGO2"
"48255"	"9606.ENSP00000220592"	"9606.ENSP00000338235"	796	"MTDH"	"AGO2"
"48258"	"9606.ENSP00000220592"	"9606.ENSP00000479169"	499	"H2BC9"	"AGO2"
"48261"	"9606.ENSP00000220592"	"9606.ENSP00000332194"	499	"H2AC20"	"AGO2"
"48262"	"9606.ENSP00000220592"	"9606.ENSP00000303373"	630	"H2AC8"	"AGO2"
"48267"	"9606.ENSP00000220592"	"9606.ENSP00000300146"	471	"PATL1"	"AGO2"
"48268"	"9606.ENSP00000220592"	"9606.ENSP00000352252"	499	"H3C12"	"AGO2"
"48272"	"9606.ENSP00000220592"	"9606.ENSP00000296417"	499	"H2AZ1"	"AGO2"
"48276"	"9606.ENSP00000220592"	"9606.ENSP00000351475"	596	"PASK"	"AGO2"
"48277"	"9606.ENSP00000220592"	"9606.ENSP00000425561"	984	"EIF4E"	"AGO2"
"48278"	"9606.ENSP00000220592"	"9606.ENSP00000429374"	457	"RPS20"	"AGO2"
"48279"	"9606.ENSP00000220592"	"9606.ENSP00000350170"	990	"FXR1"	"AGO2"
"48281"	"9606.ENSP00000220592"	"9606.ENSP00000358155"	499	"H2AC18"	"AGO2"
"48283"	"9606.ENSP00000220592"	"9606.ENSP00000477715"	453	"CPEB1"	"AGO2"
"48298"	"9606.ENSP00000220592"	"9606.ENSP00000333277"	499	"H3C13"	"AGO2"
"48306"	"9606.ENSP00000220592"	"9606.ENSP00000317691"	900	"RPP25"	"AGO2"
"48307"	"9606.ENSP00000220592"	"9606.ENSP00000497641"	441	"EIF4A3"	"AGO2"
"48310"	"9606.ENSP00000220592"	"9606.ENSP00000479284"	499	"H2BU1"	"AGO2"
"48316"	"9606.ENSP00000220592"	"9606.ENSP00000301788"	499	"POLR2G"	"AGO2"
"48327"	"9606.ENSP00000220592"	"9606.ENSP00000336783"	932	"TNRC6C"	"AGO2"
"48331"	"9606.ENSP00000220592"	"9606.ENSP00000362300"	999	"AGO2"	"AGO1"
"48332"	"9606.ENSP00000220592"	"9606.ENSP00000284995"	540	"TSEN2"	"AGO2"
"48338"	"9606.ENSP00000220592"	"9606.ENSP00000342889"	499	"POLR2K"	"AGO2"
"48345"	"9606.ENSP00000220592"	"9606.ENSP00000271640"	405	"SETDB1"	"AGO2"
"48347"	"9606.ENSP00000220592"	"9606.ENSP00000381216"	414	"KHSRP"	"AGO2"
"48351"	"9606.ENSP00000220592"	"9606.ENSP00000470142"	905	"UPF1"	"AGO2"
"48361"	"9606.ENSP00000220592"	"9606.ENSP00000347184"	918	"HTT"	"AGO2"
"48362"	"9606.ENSP00000220592"	"9606.ENSP00000350098"	900	"POP5"	"AGO2"
"48365"	"9606.ENSP00000220592"	"9606.ENSP00000267163"	551	"RB1"	"AGO2"
"48367"	"9606.ENSP00000220592"	"9606.ENSP00000327801"	410	"P4HB"	"AGO2"
"48371"	"9606.ENSP00000220592"	"9606.ENSP00000379144"	999	"TNRC6A"	"AGO2"
"48372"	"9606.ENSP00000220592"	"9606.ENSP00000476386"	720	"DCP1A"	"AGO2"
"48373"	"9606.ENSP00000220592"	"9606.ENSP00000354777"	472	"TBKBP1"	"AGO2"
"48376"	"9606.ENSP00000220592"	"9606.ENSP00000471239"	726	"ZFP36"	"AGO2"
"48378"	"9606.ENSP00000220592"	"9606.ENSP00000465213"	900	"POP4"	"AGO2"
"48383"	"9606.ENSP00000220592"	"9606.ENSP00000264951"	476	"XRN1"	"AGO2"
"48384"	"9606.ENSP00000220592"	"9606.ENSP00000425979"	894	"DROSHA"	"AGO2"
"48385"	"9606.ENSP00000220592"	"9606.ENSP00000384863"	557	"XPO1"	"AGO2"
"48387"	"9606.ENSP00000220592"	"9606.ENSP00000256079"	899	"IPO8"	"AGO2"
"48389"	"9606.ENSP00000220592"	"9606.ENSP00000438553"	499	"H2AJ"	"AGO2"
"48391"	"9606.ENSP00000220592"	"9606.ENSP00000377681"	457	"G3BP1"	"AGO2"
"48399"	"9606.ENSP00000220592"	"9606.ENSP00000358716"	989	"DDX20"	"AGO2"
"48404"	"9606.ENSP00000220592"	"9606.ENSP00000389182"	900	"RPP30"	"AGO2"
"48406"	"9606.ENSP00000220592"	"9606.ENSP00000320147"	517	"EZH2"	"AGO2"
"48407"	"9606.ENSP00000220592"	"9606.ENSP00000479488"	457	"PHB"	"AGO2"
"48413"	"9606.ENSP00000220592"	"9606.ENSP00000338173"	695	"PUM2"	"AGO2"
"48416"	"9606.ENSP00000220592"	"9606.ENSP00000321744"	499	"H2BC4"	"AGO2"
"48418"	"9606.ENSP00000220592"	"9606.ENSP00000360609"	987	"HSP90AB1"	"AGO2"
"48425"	"9606.ENSP00000220592"	"9606.ENSP00000242351"	549	"ZC3HAV1"	"AGO2"
"48427"	"9606.ENSP00000220592"	"9606.ENSP00000497594"	457	"UBE3A"	"AGO2"
"48433"	"9606.ENSP00000220592"	"9606.ENSP00000440915"	900	"PRORP"	"AGO2"
"48438"	"9606.ENSP00000220592"	"9606.ENSP00000444810"	446	"FKBP5"	"AGO2"
"48439"	"9606.ENSP00000220592"	"9606.ENSP00000318176"	910	"PRKRA"	"AGO2"
"48441"	"9606.ENSP00000220592"	"9606.ENSP00000401445"	720	"ERN1"	"AGO2"
"48446"	"9606.ENSP00000220592"	"9606.ENSP00000363559"	703	"EIF6"	"AGO2"
"48453"	"9606.ENSP00000220592"	"9606.ENSP00000346015"	457	"RPL27A"	"AGO2"
"48454"	"9606.ENSP00000220592"	"9606.ENSP00000497422"	740	"EIF4E1B"	"AGO2"
"48455"	"9606.ENSP00000220592"	"9606.ENSP00000494040"	809	"DDX3X"	"AGO2"
"48458"	"9606.ENSP00000220592"	"9606.ENSP00000321706"	986	"GEMIN4"	"AGO2"
"48463"	"9606.ENSP00000220592"	"9606.ENSP00000461879"	668	"POLR2A"	"AGO2"
"48468"	"9606.ENSP00000220592"	"9606.ENSP00000254810"	499	"H3-3B"	"AGO2"
"48471"	"9606.ENSP00000220592"	"9606.ENSP00000432845"	751	"MEX3A"	"AGO2"
"48473"	"9606.ENSP00000220592"	"9606.ENSP00000362306"	988	"AGO4"	"AGO2"
"48477"	"9606.ENSP00000220592"	"9606.ENSP00000385610"	424	"MEX3C"	"AGO2"
"48479"	"9606.ENSP00000220592"	"9606.ENSP00000297613"	540	"RPP25L"	"AGO2"
"48480"	"9606.ENSP00000220592"	"9606.ENSP00000273317"	926	"LIMD1"	"AGO2"
"48482"	"9606.ENSP00000220592"	"9606.ENSP00000292614"	499	"POLR2J"	"AGO2"
"48484"	"9606.ENSP00000220592"	"9606.ENSP00000493712"	549	"RAD51"	"AGO2"
"48485"	"9606.ENSP00000220592"	"9606.ENSP00000362287"	994	"AGO3"	"AGO2"
"48486"	"9606.ENSP00000220592"	"9606.ENSP00000376475"	497	"PRKAR1A"	"AGO2"
"48493"	"9606.ENSP00000220592"	"9606.ENSP00000263209"	869	"DGCR8"	"AGO2"
"48497"	"9606.ENSP00000220592"	"9606.ENSP00000374332"	660	"TSN"	"AGO2"
"48504"	"9606.ENSP00000220592"	"9606.ENSP00000266987"	999	"TARBP2"	"AGO2"
"48507"	"9606.ENSP00000220592"	"9606.ENSP00000482674"	499	"H2BC3"	"AGO2"
"48509"	"9606.ENSP00000220592"	"9606.ENSP00000386894"	966	"RBM4"	"AGO2"
"48510"	"9606.ENSP00000220592"	"9606.ENSP00000262238"	635	"YY1"	"AGO2"
"48518"	"9606.ENSP00000220592"	"9606.ENSP00000481038"	720	"CYFIP1"	"AGO2"
"48520"	"9606.ENSP00000220592"	"9606.ENSP00000340691"	527	"EIF4EBP1"	"AGO2"
"48524"	"9606.ENSP00000220592"	"9606.ENSP00000405620"	517	"DHX30"	"AGO2"
"48525"	"9606.ENSP00000220592"	"9606.ENSP00000369391"	900	"RPP40"	"AGO2"
"48529"	"9606.ENSP00000220592"	"9606.ENSP00000359506"	995	"FMR1"	"AGO2"
"48534"	"9606.ENSP00000220592"	"9606.ENSP00000327487"	540	"TSEN54"	"AGO2"
"48539"	"9606.ENSP00000220592"	"9606.ENSP00000225792"	754	"DDX5"	"AGO2"
"48540"	"9606.ENSP00000220592"	"9606.ENSP00000393324"	740	"EIF4E3"	"AGO2"
"48546"	"9606.ENSP00000220592"	"9606.ENSP00000483903"	499	"H2BC15"	"AGO2"
"48549"	"9606.ENSP00000220592"	"9606.ENSP00000362774"	520	"RC3H2"	"AGO2"
"48550"	"9606.ENSP00000220592"	"9606.ENSP00000477907"	499	"H2BC14"	"AGO2"
"48551"	"9606.ENSP00000220592"	"9606.ENSP00000381693"	438	"ZSWIM8"	"AGO2"
"48553"	"9606.ENSP00000220592"	"9606.ENSP00000296930"	984	"NPM1"	"AGO2"
"48556"	"9606.ENSP00000220592"	"9606.ENSP00000328484"	499	"H2AC14"	"AGO2"
"48557"	"9606.ENSP00000220592"	"9606.ENSP00000265371"	575	"NRP1"	"AGO2"
"48561"	"9606.ENSP00000220592"	"9606.ENSP00000231948"	588	"CRBN"	"AGO2"
"48564"	"9606.ENSP00000220592"	"9606.ENSP00000357459"	695	"AGO2"	"ADAR"
"48565"	"9606.ENSP00000220592"	"9606.ENSP00000367022"	499	"H2AC6"	"AGO2"
"48566"	"9606.ENSP00000220592"	"9606.ENSP00000320949"	663	"CNOT1"	"AGO2"
"48569"	"9606.ENSP00000220592"	"9606.ENSP00000313199"	476	"HNRNPD"	"AGO2"
"48571"	"9606.ENSP00000220592"	"9606.ENSP00000481622"	499	"H2BS1"	"AGO2"
"48580"	"9606.ENSP00000220592"	"9606.ENSP00000356224"	478	"SYNE1"	"AGO2"
"48581"	"9606.ENSP00000220592"	"9606.ENSP00000355279"	457	"CNOT7"	"AGO2"
"48582"	"9606.ENSP00000220592"	"9606.ENSP00000356520"	995	"DHX9"	"AGO2"
"48585"	"9606.ENSP00000220592"	"9606.ENSP00000355599"	730	"TSNAX"	"AGO2"
"48587"	"9606.ENSP00000220592"	"9606.ENSP00000498060"	540	"RAMACL"	"AGO2"
"48590"	"9606.ENSP00000220592"	"9606.ENSP00000355013"	691	"CTR9"	"AGO2"
"48593"	"9606.ENSP00000220592"	"9606.ENSP00000466967"	497	"TRMT1"	"AGO2"
"48594"	"9606.ENSP00000220592"	"9606.ENSP00000346762"	890	"SND1"	"AGO2"
"48595"	"9606.ENSP00000220592"	"9606.ENSP00000437256"	999	"DICER1"	"AGO2"
"48598"	"9606.ENSP00000220592"	"9606.ENSP00000434995"	900	"CLP1"	"AGO2"
"48605"	"9606.ENSP00000220592"	"9606.ENSP00000272645"	499	"POLR2D"	"AGO2"
"48607"	"9606.ENSP00000220592"	"9606.ENSP00000412894"	900	"RPP14"	"AGO2"
"48610"	"9606.ENSP00000220592"	"9606.ENSP00000373272"	873	"TRIM71"	"AGO2"
"48612"	"9606.ENSP00000220592"	"9606.ENSP00000424896"	402	"CNOT6L"	"AGO2"
"48614"	"9606.ENSP00000220592"	"9606.ENSP00000409799"	900	"RPP21"	"AGO2"
"48615"	"9606.ENSP00000220592"	"9606.ENSP00000373715"	924	"DCP2"	"AGO2"
"48622"	"9606.ENSP00000220592"	"9606.ENSP00000484261"	499	"H2AB1"	"AGO2"
"48625"	"9606.ENSP00000220592"	"9606.ENSP00000415536"	499	"POLR2H"	"AGO2"
"48631"	"9606.ENSP00000220592"	"9606.ENSP00000308405"	499	"H2AZ2"	"AGO2"
"48632"	"9606.ENSP00000220592"	"9606.ENSP00000289316"	499	"H2BC5"	"AGO2"
"48635"	"9606.ENSP00000220592"	"9606.ENSP00000401946"	975	"TNRC6B"	"AGO2"
"48639"	"9606.ENSP00000220592"	"9606.ENSP00000478303"	499	"POLR2E"	"AGO2"
"48642"	"9606.ENSP00000220592"	"9606.ENSP00000298910"	661	"LRRK2"	"AGO2"
"48645"	"9606.ENSP00000220592"	"9606.ENSP00000244537"	499	"H4C6"	"AGO2"
"48646"	"9606.ENSP00000220592"	"9606.ENSP00000258416"	900	"EIF4E2"	"AGO2"
"48647"	"9606.ENSP00000220592"	"9606.ENSP00000356669"	710	"RC3H1"	"AGO2"
"48648"	"9606.ENSP00000220592"	"9606.ENSP00000476136"	499	"H2BC11"	"AGO2"
"48651"	"9606.ENSP00000220592"	"9606.ENSP00000372547"	510	"SRY"	"AGO2"
"48653"	"9606.ENSP00000220592"	"9606.ENSP00000463058"	910	"RBM8A"	"AGO2"
"48660"	"9606.ENSP00000220592"	"9606.ENSP00000326806"	900	"NCBP2"	"AGO2"
"48662"	"9606.ENSP00000220592"	"9606.ENSP00000305556"	505	"PCBP1"	"AGO2"
"48663"	"9606.ENSP00000220592"	"9606.ENSP00000290341"	420	"IGF2BP1"	"AGO2"
"48664"	"9606.ENSP00000220592"	"9606.ENSP00000250113"	890	"FXR2"	"AGO2"
"48673"	"9606.ENSP00000220592"	"9606.ENSP00000313007"	681	"PABPC1"	"AGO2"
"48675"	"9606.ENSP00000220592"	"9606.ENSP00000324124"	499	"POLR2L"	"AGO2"
"48681"	"9606.ENSP00000220592"	"9606.ENSP00000221801"	418	"FBL"	"AGO2"
"48685"	"9606.ENSP00000220592"	"9606.ENSP00000434024"	499	"H2AX"	"AGO2"
"48688"	"9606.ENSP00000220592"	"9606.ENSP00000379078"	555	"EHMT2"	"AGO2"
"48692"	"9606.ENSP00000220592"	"9606.ENSP00000335153"	991	"HSP90AA1"	"AGO2"
"48693"	"9606.ENSP00000220592"	"9606.ENSP00000299001"	403	"PIWIL4"	"AGO2"
"48701"	"9606.ENSP00000220592"	"9606.ENSP00000332973"	422	"SMAD3"	"AGO2"
"48704"	"9606.ENSP00000220592"	"9606.ENSP00000385725"	499	"POLR2F"	"AGO2"
"48706"	"9606.ENSP00000220592"	"9606.ENSP00000247219"	452	"TBPL2"	"AGO2"
"48707"	"9606.ENSP00000220592"	"9606.ENSP00000477527"	499	"H2BC17"	"AGO2"
"48708"	"9606.ENSP00000220592"	"9606.ENSP00000437125"	633	"HSPA8"	"AGO2"
"48710"	"9606.ENSP00000220592"	"9606.ENSP00000317872"	465	"RBBP6"	"AGO2"
"48714"	"9606.ENSP00000220592"	"9606.ENSP00000359345"	408	"RPL5"	"AGO2"
"48717"	"9606.ENSP00000220592"	"9606.ENSP00000399797"	982	"MOV10"	"AGO2"
"48723"	"9606.ENSP00000220592"	"9606.ENSP00000274764"	499	"H2BC1"	"AGO2"
"48725"	"9606.ENSP00000220592"	"9606.ENSP00000304353"	900	"POP7"	"AGO2"
"48727"	"9606.ENSP00000220592"	"9606.ENSP00000361626"	727	"YBX1"	"AGO2"
"48729"	"9606.ENSP00000220592"	"9606.ENSP00000349428"	660	"PTBP1"	"AGO2"
"48732"	"9606.ENSP00000220592"	"9606.ENSP00000221859"	499	"POLR2I"	"AGO2"
"48735"	"9606.ENSP00000220592"	"9606.ENSP00000382382"	457	"USP47"	"AGO2"
"48736"	"9606.ENSP00000220592"	"9606.ENSP00000358151"	499	"H2BC21"	"AGO2"
"48738"	"9606.ENSP00000220592"	"9606.ENSP00000385787"	900	"POP1"	"AGO2"
"48745"	"9606.ENSP00000220592"	"9606.ENSP00000437872"	497	"GPRASP2"	"AGO2"
"48747"	"9606.ENSP00000220592"	"9606.ENSP00000351811"	730	"EDC4"	"AGO2"
"48750"	"9606.ENSP00000220592"	"9606.ENSP00000318195"	506	"NCL"	"AGO2"
"48754"	"9606.ENSP00000220592"	"9606.ENSP00000492033"	540	"NCBP2L"	"AGO2"
"48759"	"9606.ENSP00000220597"	"9606.ENSP00000262613"	861	"SLC9A3R1"	"PAG1"
"48763"	"9606.ENSP00000220597"	"9606.ENSP00000477713"	469	"PAG1"	"LCK"
"48768"	"9606.ENSP00000220597"	"9606.ENSP00000362680"	469	"SRC"	"PAG1"
"48788"	"9606.ENSP00000220597"	"9606.ENSP00000379350"	471	"PAG1"	"ITGB1"
"48792"	"9606.ENSP00000220597"	"9606.ENSP00000338934"	535	"PAG1"	"EZR"
"48799"	"9606.ENSP00000220597"	"9606.ENSP00000284240"	443	"THY1"	"PAG1"
"48811"	"9606.ENSP00000220597"	"9606.ENSP00000428924"	620	"PAG1"	"LYN"
"48812"	"9606.ENSP00000220597"	"9606.ENSP00000346671"	632	"PAG1"	"FYN"
"48819"	"9606.ENSP00000220616"	"9606.ENSP00000299767"	604	"TG"	"HSP90B1"
"48822"	"9606.ENSP00000220616"	"9606.ENSP00000256637"	564	"TG"	"SORT1"
"48823"	"9606.ENSP00000220616"	"9606.ENSP00000499129"	562	"TG"	"PDIA4"
"48825"	"9606.ENSP00000220616"	"9606.ENSP00000352835"	878	"TG"	"MB"
"48829"	"9606.ENSP00000220616"	"9606.ENSP00000269299"	938	"TG"	"ASGR1"
"48832"	"9606.ENSP00000220616"	"9606.ENSP00000324173"	457	"TG"	"HSPA5"
"48833"	"9606.ENSP00000220616"	"9606.ENSP00000347140"	900	"TG"	"ASGR2"
"48834"	"9606.ENSP00000220616"	"9606.ENSP00000295897"	687	"TG"	"ALB"
"48835"	"9606.ENSP00000220616"	"9606.ENSP00000496870"	948	"TG"	"LRP2"
"48845"	"9606.ENSP00000220659"	"9606.ENSP00000221573"	499	"SNAPC2"	"BRF2"
"48846"	"9606.ENSP00000220659"	"9606.ENSP00000319597"	499	"SNAPC5"	"BRF2"
"48847"	"9606.ENSP00000220659"	"9606.ENSP00000356840"	499	"POU2F1"	"BRF2"
"48849"	"9606.ENSP00000220659"	"9606.ENSP00000478303"	645	"POLR2E"	"BRF2"
"48850"	"9606.ENSP00000220659"	"9606.ENSP00000334564"	664	"POLR3C"	"BRF2"
"48851"	"9606.ENSP00000220659"	"9606.ENSP00000448387"	540	"BRF2"	"BRF1"
"48852"	"9606.ENSP00000220659"	"9606.ENSP00000285398"	540	"ERCC3"	"BRF2"
"48854"	"9606.ENSP00000220659"	"9606.ENSP00000293860"	645	"POLR3K"	"BRF2"
"48855"	"9606.ENSP00000220659"	"9606.ENSP00000415536"	645	"POLR2H"	"BRF2"
"48856"	"9606.ENSP00000220659"	"9606.ENSP00000361180"	720	"GTF3C5"	"BRF2"
"48857"	"9606.ENSP00000220659"	"9606.ENSP00000358320"	583	"POLR3GL"	"BRF2"
"48858"	"9606.ENSP00000220659"	"9606.ENSP00000342889"	672	"POLR2K"	"BRF2"
"48861"	"9606.ENSP00000220659"	"9606.ENSP00000283875"	540	"GTF2E1"	"BRF2"
"48862"	"9606.ENSP00000220659"	"9606.ENSP00000359531"	540	"GTF2B"	"BRF2"
"48863"	"9606.ENSP00000220659"	"9606.ENSP00000324124"	636	"POLR2L"	"BRF2"
"48864"	"9606.ENSP00000220659"	"9606.ENSP00000496044"	654	"POLR1C"	"BRF2"
"48866"	"9606.ENSP00000220659"	"9606.ENSP00000340823"	540	"GTF2F2"	"BRF2"
"48867"	"9606.ENSP00000220659"	"9606.ENSP00000352536"	720	"GTF3C2"	"BRF2"
"48868"	"9606.ENSP00000220659"	"9606.ENSP00000498469"	583	"POLR3G"	"BRF2"
"48871"	"9606.ENSP00000220659"	"9606.ENSP00000333845"	461	"C11orf88"	"BRF2"
"48872"	"9606.ENSP00000220659"	"9606.ENSP00000361219"	720	"GTF3C4"	"BRF2"
"48873"	"9606.ENSP00000220659"	"9606.ENSP00000347345"	662	"POLR3H"	"BRF2"
"48874"	"9606.ENSP00000220659"	"9606.ENSP00000452454"	540	"GTF2A1"	"BRF2"
"48875"	"9606.ENSP00000220659"	"9606.ENSP00000405330"	540	"ESR1"	"BRF2"
"48876"	"9606.ENSP00000220659"	"9606.ENSP00000263956"	798	"GTF3C3"	"BRF2"
"48877"	"9606.ENSP00000220659"	"9606.ENSP00000247219"	461	"TBPL2"	"BRF2"
"48878"	"9606.ENSP00000220659"	"9606.ENSP00000385725"	645	"POLR2F"	"BRF2"
"48879"	"9606.ENSP00000220659"	"9606.ENSP00000378736"	666	"CRCP"	"BRF2"
"48880"	"9606.ENSP00000220659"	"9606.ENSP00000299853"	645	"POLR3E"	"BRF2"
"48881"	"9606.ENSP00000220659"	"9606.ENSP00000366828"	765	"POLR3F"	"BRF2"
"48882"	"9606.ENSP00000220659"	"9606.ENSP00000298532"	499	"SNAPC4"	"BRF2"
"48883"	"9606.ENSP00000220659"	"9606.ENSP00000302478"	645	"POLR1D"	"BRF2"
"48884"	"9606.ENSP00000220659"	"9606.ENSP00000361446"	677	"POLR3A"	"BRF2"
"48886"	"9606.ENSP00000220659"	"9606.ENSP00000370200"	499	"SNAPC3"	"BRF2"
"48889"	"9606.ENSP00000220659"	"9606.ENSP00000357863"	720	"GTF3C6"	"BRF2"
"48891"	"9606.ENSP00000220659"	"9606.ENSP00000348510"	720	"GTF3C1"	"BRF2"
"48892"	"9606.ENSP00000220659"	"9606.ENSP00000380904"	657	"POLR3D"	"BRF2"
"48894"	"9606.ENSP00000220659"	"9606.ENSP00000379847"	499	"ZNF143"	"BRF2"
"48895"	"9606.ENSP00000220659"	"9606.ENSP00000237264"	461	"TBPL1"	"BRF2"
"48896"	"9606.ENSP00000220659"	"9606.ENSP00000230354"	996	"TBP"	"BRF2"
"48897"	"9606.ENSP00000220659"	"9606.ENSP00000351575"	991	"BRF2"	"BDP1"
"48902"	"9606.ENSP00000220659"	"9606.ENSP00000228347"	678	"POLR3B"	"BRF2"
"48903"	"9606.ENSP00000220659"	"9606.ENSP00000445162"	540	"GTF2H3"	"BRF2"
"48908"	"9606.ENSP00000220669"	"9606.ENSP00000309474"	524	"ZFAND1"	"PSMD1"
"48909"	"9606.ENSP00000220669"	"9606.ENSP00000351777"	879	"ZFAND1"	"VCP"
"48927"	"9606.ENSP00000220751"	"9606.ENSP00000316176"	499	"UBE2N"	"RIPK2"
"48929"	"9606.ENSP00000220751"	"9606.ENSP00000262395"	616	"TRAF4"	"RIPK2"
"48933"	"9606.ENSP00000220751"	"9606.ENSP00000358997"	499	"RIPK2"	"IRAK1"
"48935"	"9606.ENSP00000220751"	"9606.ENSP00000322532"	403	"RIPK2"	"PELI3"
"48936"	"9606.ENSP00000220751"	"9606.ENSP00000368215"	814	"TAB3"	"RIPK2"
"48937"	"9606.ENSP00000220751"	"9606.ENSP00000401980"	477	"RIPK2"	"MAVS"
"48942"	"9606.ENSP00000220751"	"9606.ENSP00000433623"	894	"TRAF6"	"RIPK2"
"48953"	"9606.ENSP00000220751"	"9606.ENSP00000261464"	540	"TRAF5"	"RIPK2"
"48954"	"9606.ENSP00000220751"	"9606.ENSP00000479889"	475	"RIPK2"	"IRAK4"
"48957"	"9606.ENSP00000220751"	"9606.ENSP00000483825"	925	"RIPK2"	"IKBKG"
"48958"	"9606.ENSP00000220751"	"9606.ENSP00000358525"	499	"RIPK2"	"NGF"
"48962"	"9606.ENSP00000220751"	"9606.ENSP00000300589"	998	"RIPK2"	"NOD2"
"48965"	"9606.ENSP00000220751"	"9606.ENSP00000222823"	998	"RIPK2"	"NOD1"
"48971"	"9606.ENSP00000220751"	"9606.ENSP00000256458"	499	"RIPK2"	"IRAK2"
"48975"	"9606.ENSP00000220751"	"9606.ENSP00000356426"	852	"TAB2"	"RIPK2"
"48977"	"9606.ENSP00000220751"	"9606.ENSP00000263464"	457	"RIPK2"	"BIRC3"
"48978"	"9606.ENSP00000220751"	"9606.ENSP00000370343"	568	"RIPK2"	"IRF4"
"48986"	"9606.ENSP00000220751"	"9606.ENSP00000337383"	438	"RIPK2"	"NLRP3"
"48993"	"9606.ENSP00000220751"	"9606.ENSP00000360797"	684	"RIPK2"	"CARD9"
"48995"	"9606.ENSP00000220751"	"9606.ENSP00000254691"	912	"RIPK2"	"CARD6"
"48997"	"9606.ENSP00000220751"	"9606.ENSP00000376500"	923	"TRAF3"	"RIPK2"
"48998"	"9606.ENSP00000220751"	"9606.ENSP00000477613"	457	"RIPK2"	"BIRC2"
"49000"	"9606.ENSP00000220751"	"9606.ENSP00000247668"	804	"TRAF2"	"RIPK2"
"49010"	"9606.ENSP00000220751"	"9606.ENSP00000360242"	989	"XIAP"	"RIPK2"
"49013"	"9606.ENSP00000220751"	"9606.ENSP00000340305"	499	"UBE2V1"	"RIPK2"
"49017"	"9606.ENSP00000220751"	"9606.ENSP00000358335"	716	"RIPK2"	"MAP3K7"
"49073"	"9606.ENSP00000220764"	"9606.ENSP00000377536"	724	"PTTG1"	"DECR1"
"49091"	"9606.ENSP00000220764"	"9606.ENSP00000380070"	590	"GAPDH"	"DECR1"
