"protein1"	"protein2"	"combined_score"	"gene1"	"gene2"
"180"	"9606.ENSP00000000412"	"9606.ENSP00000327694"	499	"M6PR"	"AP2A2"
"183"	"9606.ENSP00000000412"	"9606.ENSP00000362639"	499	"RABEPK"	"M6PR"
"184"	"9606.ENSP00000000412"	"9606.ENSP00000376792"	499	"VTI1A"	"M6PR"
"188"	"9606.ENSP00000000412"	"9606.ENSP00000409581"	499	"M6PR"	"ARRB1"
"195"	"9606.ENSP00000000412"	"9606.ENSP00000251119"	412	"ZFYVE26"	"M6PR"
"197"	"9606.ENSP00000000412"	"9606.ENSP00000377148"	499	"M6PR"	"AP1G1"
"201"	"9606.ENSP00000000412"	"9606.ENSP00000440005"	499	"M6PR"	"ARF1"
"204"	"9606.ENSP00000000412"	"9606.ENSP00000351926"	499	"M6PR"	"AP2A1"
"205"	"9606.ENSP00000000412"	"9606.ENSP00000403362"	499	"M6PR"	"AP2M1"
"206"	"9606.ENSP00000000412"	"9606.ENSP00000369318"	499	"RHOBTB3"	"M6PR"
"209"	"9606.ENSP00000000412"	"9606.ENSP00000388996"	499	"M6PR"	"AP1M1"
"211"	"9606.ENSP00000000412"	"9606.ENSP00000438085"	970	"M6PR"	"GGA3"
"212"	"9606.ENSP00000000412"	"9606.ENSP00000420127"	499	"RAB9A"	"M6PR"
"215"	"9606.ENSP00000000412"	"9606.ENSP00000465685"	499	"M6PR"	"AP1M2"
"216"	"9606.ENSP00000000412"	"9606.ENSP00000307939"	529	"M6PR"	"GCC2"
"217"	"9606.ENSP00000000412"	"9606.ENSP00000369081"	499	"TXNDC5"	"M6PR"
"223"	"9606.ENSP00000001008"	"9606.ENSP00000430598"	590	"FKBP4"	"ATOX1"
"233"	"9606.ENSP00000001008"	"9606.ENSP00000220592"	452	"FKBP4"	"AGO2"
"242"	"9606.ENSP00000001008"	"9606.ENSP00000471700"	467	"FKBP8"	"FKBP4"
"250"	"9606.ENSP00000001008"	"9606.ENSP00000359424"	739	"FKBP4"	"CHUK"
"251"	"9606.ENSP00000001008"	"9606.ENSP00000303754"	878	"PPID"	"FKBP4"
"252"	"9606.ENSP00000001008"	"9606.ENSP00000375892"	478	"FKBP4"	"AKT2"
"255"	"9606.ENSP00000001008"	"9606.ENSP00000325120"	926	"PGR"	"FKBP4"
"256"	"9606.ENSP00000001008"	"9606.ENSP00000364801"	538	"HSPA1B"	"FKBP4"
"263"	"9606.ENSP00000001008"	"9606.ENSP00000340820"	447	"MAPT"	"FKBP4"
"267"	"9606.ENSP00000001008"	"9606.ENSP00000464030"	414	"IKBKE"	"FKBP4"
"270"	"9606.ENSP00000001008"	"9606.ENSP00000332766"	414	"NPB"	"FKBP4"
"272"	"9606.ENSP00000001008"	"9606.ENSP00000221452"	648	"RELB"	"FKBP4"
"273"	"9606.ENSP00000001008"	"9606.ENSP00000444810"	970	"FKBP5"	"FKBP4"
"277"	"9606.ENSP00000001008"	"9606.ENSP00000405330"	836	"FKBP4"	"ESR1"
"284"	"9606.ENSP00000001008"	"9606.ENSP00000360609"	995	"HSP90AB1"	"FKBP4"
"285"	"9606.ENSP00000001008"	"9606.ENSP00000437125"	838	"HSPA8"	"FKBP4"
"287"	"9606.ENSP00000001008"	"9606.ENSP00000226574"	406	"NFKB1"	"FKBP4"
"288"	"9606.ENSP00000001008"	"9606.ENSP00000335153"	995	"HSP90AA1"	"FKBP4"
"291"	"9606.ENSP00000001008"	"9606.ENSP00000354558"	934	"MTOR"	"FKBP4"
"301"	"9606.ENSP00000001008"	"9606.ENSP00000262719"	983	"PHLPP1"	"FKBP4"
"305"	"9606.ENSP00000001008"	"9606.ENSP00000378199"	520	"HSPA2"	"FKBP4"
"308"	"9606.ENSP00000001008"	"9606.ENSP00000482075"	951	"PTGES3"	"FKBP4"
"311"	"9606.ENSP00000001008"	"9606.ENSP00000343925"	499	"FKBP4"	"ESR2"
"313"	"9606.ENSP00000001008"	"9606.ENSP00000364802"	538	"HSPA1A"	"FKBP4"
"318"	"9606.ENSP00000001008"	"9606.ENSP00000216479"	740	"FKBP4"	"AHSA1"
"321"	"9606.ENSP00000001008"	"9606.ENSP00000486109"	470	"TRPC4"	"FKBP4"
"325"	"9606.ENSP00000001008"	"9606.ENSP00000264335"	408	"YWHAE"	"FKBP4"
"330"	"9606.ENSP00000001008"	"9606.ENSP00000302961"	986	"HSPA4"	"FKBP4"
"335"	"9606.ENSP00000001008"	"9606.ENSP00000358335"	467	"MAP3K7"	"FKBP4"
"340"	"9606.ENSP00000001008"	"9606.ENSP00000231509"	975	"NR3C1"	"FKBP4"
"346"	"9606.ENSP00000001008"	"9606.ENSP00000363822"	860	"FKBP4"	"AR"
"350"	"9606.ENSP00000001008"	"9606.ENSP00000401197"	435	"USP19"	"FKBP4"
"351"	"9606.ENSP00000001008"	"9606.ENSP00000351646"	721	"STIP1"	"FKBP4"
"354"	"9606.ENSP00000001008"	"9606.ENSP00000254322"	886	"FKBP4"	"DNAJB1"
"355"	"9606.ENSP00000001008"	"9606.ENSP00000282003"	410	"OBI1"	"FKBP4"
"359"	"9606.ENSP00000001008"	"9606.ENSP00000359385"	787	"GLMN"	"FKBP4"
"363"	"9606.ENSP00000001008"	"9606.ENSP00000370343"	592	"IRF4"	"FKBP4"
"366"	"9606.ENSP00000001008"	"9606.ENSP00000451828"	855	"FKBP4"	"AKT1"
"367"	"9606.ENSP00000001008"	"9606.ENSP00000431512"	716	"HSF1"	"FKBP4"
"373"	"9606.ENSP00000001008"	"9606.ENSP00000350815"	891	"NR3C2"	"FKBP4"
"376"	"9606.ENSP00000001008"	"9606.ENSP00000364805"	538	"HSPA1L"	"FKBP4"
"383"	"9606.ENSP00000001146"	"9606.ENSP00000224356"	900	"CYP26B1"	"CYP26A1"
"397"	"9606.ENSP00000001146"	"9606.ENSP00000498424"	900	"CYP26C1"	"CYP26B1"
"401"	"9606.ENSP00000002125"	"9606.ENSP00000276689"	499	"NDUFB9"	"NDUFAF7"
"403"	"9606.ENSP00000002125"	"9606.ENSP00000417142"	499	"NDUFAF7"	"NDUFA5"
"405"	"9606.ENSP00000002125"	"9606.ENSP00000315774"	499	"NDUFS8"	"NDUFAF7"
"407"	"9606.ENSP00000002125"	"9606.ENSP00000259037"	499	"NDUFB5"	"NDUFAF7"
"409"	"9606.ENSP00000002125"	"9606.ENSP00000389160"	499	"NDUFAF7"	"NDUFA11"
"410"	"9606.ENSP00000002125"	"9606.ENSP00000268668"	499	"NDUFB10"	"NDUFAF7"
"412"	"9606.ENSP00000002125"	"9606.ENSP00000233627"	566	"NDUFS7"	"NDUFAF7"
"414"	"9606.ENSP00000002125"	"9606.ENSP00000281031"	499	"NDUFC2"	"NDUFAF7"
"415"	"9606.ENSP00000002125"	"9606.ENSP00000215565"	499	"NDUFB7"	"NDUFAF7"
"417"	"9606.ENSP00000002125"	"9606.ENSP00000407336"	499	"NDUFB3"	"NDUFAF7"
"421"	"9606.ENSP00000002125"	"9606.ENSP00000358272"	499	"NDUFAF7"	"NDUFAF4"
"424"	"9606.ENSP00000002125"	"9606.ENSP00000354687"	499	"NDUFAF7"	"MT-ND1"
"425"	"9606.ENSP00000002125"	"9606.ENSP00000441126"	499	"NDUFC1"	"NDUFAF7"
"430"	"9606.ENSP00000002125"	"9606.ENSP00000362873"	499	"NDUFAF7"	"NDUFA8"
"431"	"9606.ENSP00000002125"	"9606.ENSP00000323076"	499	"NDUFAF7"	"NDUFAF3"
"433"	"9606.ENSP00000002125"	"9606.ENSP00000184266"	499	"NDUFB4"	"NDUFAF7"
"439"	"9606.ENSP00000002125"	"9606.ENSP00000367346"	499	"NDUFAF7"	"NDUFAF5"
"440"	"9606.ENSP00000002125"	"9606.ENSP00000252711"	644	"NDUFAF7"	"NDUFA10"
"442"	"9606.ENSP00000002125"	"9606.ENSP00000356972"	738	"NDUFS2"	"NDUFAF7"
"444"	"9606.ENSP00000002125"	"9606.ENSP00000276062"	499	"NDUFB11"	"NDUFAF7"
"446"	"9606.ENSP00000002125"	"9606.ENSP00000423673"	499	"NDUFAF7"	"NDUFA13"
"449"	"9606.ENSP00000002125"	"9606.ENSP00000418438"	499	"NDUFAF7"	"NDUFA3"
"452"	"9606.ENSP00000002125"	"9606.ENSP00000309262"	457	"USP48"	"NDUFAF7"
"453"	"9606.ENSP00000002125"	"9606.ENSP00000419087"	499	"NDUFB2"	"NDUFAF7"
"454"	"9606.ENSP00000002125"	"9606.ENSP00000483888"	499	"NDUFB1"	"NDUFAF7"
"455"	"9606.ENSP00000002125"	"9606.ENSP00000299166"	499	"NDUFB8"	"NDUFAF7"
"458"	"9606.ENSP00000002125"	"9606.ENSP00000482543"	499	"NDUFAF7"	"NDUFA6"
"461"	"9606.ENSP00000002125"	"9606.ENSP00000458770"	499	"NDUFAF7"	"NDUFAB1"
"462"	"9606.ENSP00000002125"	"9606.ENSP00000252102"	499	"NDUFAF7"	"NDUFA2"
"463"	"9606.ENSP00000002125"	"9606.ENSP00000360492"	499	"NDUFAF7"	"NDUFA1"
"464"	"9606.ENSP00000002125"	"9606.ENSP00000379430"	499	"NDUFAF7"	"NDUFAF6"
"466"	"9606.ENSP00000002125"	"9606.ENSP00000263774"	499	"NDUFS3"	"NDUFAF7"
"468"	"9606.ENSP00000002125"	"9606.ENSP00000301457"	499	"NDUFAF7"	"NDUFA7"
"469"	"9606.ENSP00000002125"	"9606.ENSP00000418803"	499	"TIMMDC1"	"NDUFAF7"
"470"	"9606.ENSP00000002125"	"9606.ENSP00000266544"	499	"NDUFAF7"	"NDUFA9"
"472"	"9606.ENSP00000002165"	"9606.ENSP00000262041"	448	"MEOX2"	"FUCA2"
"483"	"9606.ENSP00000002165"	"9606.ENSP00000322323"	499	"FUCA2"	"FAM20C"
"495"	"9606.ENSP00000002165"	"9606.ENSP00000363603"	916	"FUCA2"	"FUCA1"
"499"	"9606.ENSP00000002596"	"9606.ENSP00000245451"	535	"HS3ST1"	"BMP4"
"508"	"9606.ENSP00000002596"	"9606.ENSP00000420161"	424	"HS3ST1"	"B4GALT4"
"517"	"9606.ENSP00000002829"	"9606.ENSP00000377061"	925	"SEMA3F"	"PLXNA1"
"522"	"9606.ENSP00000002829"	"9606.ENSP00000352882"	692	"SEMA3F"	"PLXNA4"
"523"	"9606.ENSP00000002829"	"9606.ENSP00000395535"	435	"SEMA3F"	"MECP2"
"525"	"9606.ENSP00000002829"	"9606.ENSP00000359506"	518	"SEMA3F"	"FMR1"
"526"	"9606.ENSP00000002829"	"9606.ENSP00000368314"	551	"SEMA3F"	"NRCAM"
"527"	"9606.ENSP00000002829"	"9606.ENSP00000265371"	955	"SEMA3F"	"NRP1"
"530"	"9606.ENSP00000002829"	"9606.ENSP00000353582"	986	"SEMA3F"	"NRP2"
"532"	"9606.ENSP00000002829"	"9606.ENSP00000358696"	971	"SEMA3F"	"PLXNA3"
"538"	"9606.ENSP00000002829"	"9606.ENSP00000427562"	432	"SEMA3F"	"ABL2"
"541"	"9606.ENSP00000002829"	"9606.ENSP00000265361"	551	"SEMA3F"	"SEMA3C"
"545"	"9606.ENSP00000003084"	"9606.ENSP00000158771"	555	"DERL2"	"CFTR"
"548"	"9606.ENSP00000003084"	"9606.ENSP00000477310"	499	"DYNLL2"	"CFTR"
"549"	"9606.ENSP00000003084"	"9606.ENSP00000342143"	863	"PDZK1"	"CFTR"
"550"	"9606.ENSP00000003084"	"9606.ENSP00000403362"	499	"CFTR"	"AP2M1"
"555"	"9606.ENSP00000003084"	"9606.ENSP00000392330"	551	"CFTR"	"BCAP31"
"559"	"9606.ENSP00000003084"	"9606.ENSP00000347454"	596	"CFTR"	"ANO1"
"562"	"9606.ENSP00000003084"	"9606.ENSP00000369127"	457	"DNAJA1"	"CFTR"
"568"	"9606.ENSP00000003084"	"9606.ENSP00000320130"	499	"DYNC1I1"	"CFTR"
"569"	"9606.ENSP00000003084"	"9606.ENSP00000470176"	506	"CFTR"	"AP2S1"
"572"	"9606.ENSP00000003084"	"9606.ENSP00000431512"	499	"HSF1"	"CFTR"
"573"	"9606.ENSP00000003084"	"9606.ENSP00000374455"	457	"SQSTM1"	"CFTR"
"574"	"9606.ENSP00000003084"	"9606.ENSP00000347778"	464	"SLC26A8"	"CFTR"
"578"	"9606.ENSP00000003084"	"9606.ENSP00000408411"	499	"LAMP2"	"CFTR"
"580"	"9606.ENSP00000003084"	"9606.ENSP00000290649"	457	"CFTR"	"AMFR"
"581"	"9606.ENSP00000003084"	"9606.ENSP00000366654"	426	"CFTR"	"CA6"
"584"	"9606.ENSP00000003084"	"9606.ENSP00000347742"	627	"PDZD3"	"CFTR"
"588"	"9606.ENSP00000003084"	"9606.ENSP00000248553"	513	"HSPB1"	"CFTR"
"589"	"9606.ENSP00000003084"	"9606.ENSP00000318165"	499	"OS9"	"CFTR"
"590"	"9606.ENSP00000003084"	"9606.ENSP00000410964"	542	"ERLIN1"	"CFTR"
"591"	"9606.ENSP00000003084"	"9606.ENSP00000247461"	801	"CFTR"	"CANX"
"595"	"9606.ENSP00000003084"	"9606.ENSP00000335153"	932	"HSP90AA1"	"CFTR"
"596"	"9606.ENSP00000003084"	"9606.ENSP00000309591"	548	"PRKACA"	"CFTR"
"605"	"9606.ENSP00000003084"	"9606.ENSP00000348416"	905	"TJP1"	"CFTR"
"606"	"9606.ENSP00000003084"	"9606.ENSP00000272317"	580	"RPS27A"	"CFTR"
"608"	"9606.ENSP00000003084"	"9606.ENSP00000471536"	457	"MARCHF2"	"CFTR"
"609"	"9606.ENSP00000003084"	"9606.ENSP00000238738"	499	"RHOQ"	"CFTR"
"612"	"9606.ENSP00000003084"	"9606.ENSP00000361930"	907	"YWHAB"	"CFTR"
"615"	"9606.ENSP00000003084"	"9606.ENSP00000384744"	538	"DERL3"	"CFTR"
"617"	"9606.ENSP00000003084"	"9606.ENSP00000358866"	944	"FLNA"	"CFTR"
"620"	"9606.ENSP00000003084"	"9606.ENSP00000234160"	469	"GORASP2"	"CFTR"
"621"	"9606.ENSP00000003084"	"9606.ENSP00000355865"	499	"PRKN"	"CFTR"
"622"	"9606.ENSP00000003084"	"9606.ENSP00000346148"	457	"PRKAA1"	"CFTR"
"626"	"9606.ENSP00000003084"	"9606.ENSP00000338562"	410	"STX3"	"CFTR"
"627"	"9606.ENSP00000003084"	"9606.ENSP00000306330"	901	"YWHAG"	"CFTR"
"630"	"9606.ENSP00000003084"	"9606.ENSP00000302961"	663	"HSPA4"	"CFTR"
"634"	"9606.ENSP00000003084"	"9606.ENSP00000216479"	448	"CFTR"	"AHSA1"
"637"	"9606.ENSP00000003084"	"9606.ENSP00000259512"	717	"DERL1"	"CFTR"
"638"	"9606.ENSP00000003084"	"9606.ENSP00000360609"	889	"HSP90AB1"	"CFTR"
"640"	"9606.ENSP00000003084"	"9606.ENSP00000348056"	457	"UBE2I"	"CFTR"
"645"	"9606.ENSP00000003084"	"9606.ENSP00000316176"	499	"UBE2N"	"CFTR"
"646"	"9606.ENSP00000003084"	"9606.ENSP00000431984"	430	"CFTR"	"CAPN1"
"647"	"9606.ENSP00000003084"	"9606.ENSP00000348965"	508	"DYNC1H1"	"CFTR"
"649"	"9606.ENSP00000003084"	"9606.ENSP00000327145"	405	"FLNC"	"CFTR"
"654"	"9606.ENSP00000003084"	"9606.ENSP00000264033"	457	"CFTR"	"CBL"
"655"	"9606.ENSP00000003084"	"9606.ENSP00000424827"	457	"NEDD4"	"CFTR"
"658"	"9606.ENSP00000003084"	"9606.ENSP00000285379"	449	"CFTR"	"CA2"
"659"	"9606.ENSP00000003084"	"9606.ENSP00000308236"	455	"COMMD1"	"CFTR"
"662"	"9606.ENSP00000003084"	"9606.ENSP00000351926"	499	"CFTR"	"AP2A1"
"663"	"9606.ENSP00000003084"	"9606.ENSP00000408005"	840	"SLC9A3R2"	"CFTR"
"664"	"9606.ENSP00000003084"	"9606.ENSP00000254101"	406	"PRKAB2"	"CFTR"
"665"	"9606.ENSP00000003084"	"9606.ENSP00000376297"	503	"DYNLL1"	"CFTR"
"666"	"9606.ENSP00000003084"	"9606.ENSP00000494750"	457	"CFTR"	"ACTB"
"667"	"9606.ENSP00000003084"	"9606.ENSP00000185150"	499	"ERLEC1"	"CFTR"
"668"	"9606.ENSP00000003084"	"9606.ENSP00000379287"	901	"YWHAZ"	"CFTR"
"669"	"9606.ENSP00000003084"	"9606.ENSP00000351777"	716	"VCP"	"CFTR"
"670"	"9606.ENSP00000003084"	"9606.ENSP00000354111"	457	"DNAJC5"	"CFTR"
"671"	"9606.ENSP00000003084"	"9606.ENSP00000385834"	410	"TF"	"CFTR"
"672"	"9606.ENSP00000003084"	"9606.ENSP00000376432"	735	"KCNJ1"	"CFTR"
"674"	"9606.ENSP00000003084"	"9606.ENSP00000304783"	636	"SLC26A5"	"CFTR"
"678"	"9606.ENSP00000003084"	"9606.ENSP00000345193"	482	"SHANK2"	"CFTR"
"679"	"9606.ENSP00000003084"	"9606.ENSP00000340305"	499	"UBE2V1"	"CFTR"
"680"	"9606.ENSP00000003084"	"9606.ENSP00000219548"	571	"STUB1"	"CFTR"
"681"	"9606.ENSP00000003084"	"9606.ENSP00000270349"	420	"SLC6A3"	"CFTR"
"684"	"9606.ENSP00000003084"	"9606.ENSP00000483185"	499	"CFTR"	"AP2B1"
"685"	"9606.ENSP00000003084"	"9606.ENSP00000261890"	457	"RAB11A"	"CFTR"
"686"	"9606.ENSP00000003084"	"9606.ENSP00000437125"	782	"HSPA8"	"CFTR"
"687"	"9606.ENSP00000003084"	"9606.ENSP00000356102"	700	"SLC26A9"	"CFTR"
"688"	"9606.ENSP00000003084"	"9606.ENSP00000286298"	426	"SLC26A2"	"CFTR"
"690"	"9606.ENSP00000003084"	"9606.ENSP00000262613"	999	"SLC9A3R1"	"CFTR"
