"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"cluster"	"Module"	"NMF"	"dir"
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS"	"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS"	"3/16"	"56/7434"	0.0535714285714286	24.890625	8.33394908205044	0.000211545819641344	0.000891514525631377	0.000461265321022479	"CCNH/MNAT1/CDK7"	3	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY"	"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY"	"3/16"	"68/7434"	0.0441176470588235	20.4981617647059	7.5012028763298	0.000376476415115414	0.00153186955115927	0.000792581926558765	"CCNH/MNAT1/CDK7"	3	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_HIV_LIFE_CYCLE"	"REACTOME_HIV_LIFE_CYCLE"	"6/16"	"142/7434"	0.0422535211267606	19.6320422535211	10.4107003365778	2.99010546816187e-07	1.7641622262155e-06	9.12769037649413e-07	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_HIV_INFECTION"	"REACTOME_HIV_INFECTION"	"6/16"	"207/7434"	0.0289855072463768	13.4673913043478	8.44851499365688	2.75039567586485e-06	1.54546042739072e-05	7.99613780451935e-06	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION"	"REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION"	"6/16"	"230/7434"	0.0260869565217391	12.120652173913	7.9562050336594	5.07430885203375e-06	2.72167474790901e-05	1.40818140391367e-05	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"	"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION"	"3/16"	"131/7434"	0.0229007633587786	10.6402671755725	5.16978772557818	0.00253181089200997	0.00933605266428676	0.00483042867554533	"CCNH/MNAT1/CDK7"	3	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_DNA_REPAIR"	"REACTOME_DNA_REPAIR"	"6/16"	"276/7434"	0.0217391304347826	10.1005434782609	7.15524759068211	1.45094400334264e-05	7.44397358236661e-05	3.85147607294615e-05	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"	"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"	"6/16"	"328/7434"	0.0182926829268293	8.49923780487805	6.45119380495615	3.87634168884248e-05	0.000182963327713365	9.46643444012059e-05	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_VIRAL_INFECTION_PATHWAYS"	"REACTOME_VIRAL_INFECTION_PATHWAYS"	"6/16"	"676/7434"	0.00887573964497041	4.12389053254438	3.95602205731829	0.00199716835928195	0.00785552887984233	0.00406441280134572	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
"REACTOME_METABOLISM_OF_RNA"	"REACTOME_METABOLISM_OF_RNA"	"6/16"	"690/7434"	0.00869565217391304	4.04021739130435	3.89375881163562	0.00222100911306388	0.00845416372069476	0.00437414358430237	"ERCC3/GTF2H3/ERCC2/CCNH/MNAT1/CDK7"	6	1	"FCGRT_FORALL_098"	"NMF5"	"low"
