"V1"	"V2"	"gene_symbol1"	"gene_symbol2"
"78"	"ENSG00000002016"	"ENSG00000278023"	"RDM1"	"RAD52"
"79"	"ENSG00000002330"	"ENSG00000077522"	"BAD"	"ACTN2"
"80"	"ENSG00000002330"	"ENSG00000094796"	"KRT31"	"BAD"
"81"	"ENSG00000002330"	"ENSG00000129473"	"BCL2L2"	"BAD"
"82"	"ENSG00000002330"	"ENSG00000171552"	"BCL2L1"	"BAD"
"83"	"ENSG00000002330"	"ENSG00000175793"	"SFN"	"BAD"
"84"	"ENSG00000002330"	"ENSG00000182944"	"EWSR1"	"BAD"
"85"	"ENSG00000002549"	"ENSG00000065029"	"ZNF76"	"LAP3"
"86"	"ENSG00000002549"	"ENSG00000084764"	"MAPRE3"	"LAP3"
"87"	"ENSG00000002549"	"ENSG00000094916"	"LAP3"	"CBX5"
"88"	"ENSG00000002549"	"ENSG00000117461"	"PIK3R3"	"LAP3"
"89"	"ENSG00000002549"	"ENSG00000122565"	"LAP3"	"CBX3"
"90"	"ENSG00000002549"	"ENSG00000150773"	"PIH1D2"	"LAP3"
"91"	"ENSG00000002549"	"ENSG00000158773"	"USF1"	"LAP3"
"92"	"ENSG00000002549"	"ENSG00000159840"	"ZYX"	"LAP3"
"93"	"ENSG00000002549"	"ENSG00000172530"	"LAP3"	"BANP"
"94"	"ENSG00000002586"	"ENSG00000135018"	"UBQLN1"	"CD99"
"95"	"ENSG00000002726"	"ENSG00000135482"	"ZC3H10"	"AOC1"
"96"	"ENSG00000002726"	"ENSG00000143442"	"POGZ"	"AOC1"
"97"	"ENSG00000002726"	"ENSG00000151923"	"TIAL1"	"AOC1"
"98"	"ENSG00000002726"	"ENSG00000156795"	"NTAQ1"	"AOC1"
"99"	"ENSG00000002726"	"ENSG00000160973"	"FOXH1"	"AOC1"
"100"	"ENSG00000002726"	"ENSG00000162144"	"CYB561A3"	"AOC1"
"101"	"ENSG00000002726"	"ENSG00000164438"	"TLX3"	"AOC1"
"102"	"ENSG00000002726"	"ENSG00000166831"	"RBPMS2"	"AOC1"
"103"	"ENSG00000002726"	"ENSG00000183283"	"DAZAP2"	"AOC1"
"104"	"ENSG00000002726"	"ENSG00000183640"	"KRTAP8-1"	"AOC1"
"105"	"ENSG00000002746"	"ENSG00000148704"	"VAX1"	"HECW1"
"107"	"ENSG00000002822"	"ENSG00000012779"	"MAD1L1"	"ALOX5"
"108"	"ENSG00000002822"	"ENSG00000048540"	"MAD1L1"	"LMO3"
"109"	"ENSG00000002822"	"ENSG00000057663"	"MAD1L1"	"ATG5"
"110"	"ENSG00000002822"	"ENSG00000068394"	"MAD1L1"	"GPKOW"
"111"	"ENSG00000002822"	"ENSG00000072201"	"MAD1L1"	"LNX1"
