"SymbolA"	"SymbolB"
"61644"	"SUDS3"	"HDAC1"
"61645"	"ZNF521"	"HDAC1"
"61646"	"HDAC1"	"BCL11A"
"61647"	"ZMYM3"	"HDAC1"
"61648"	"HDAC1"	"BAHCC1"
"61649"	"HDAC1"	"DNTTIP1"
"61650"	"HDAC1"	"CCDC71"
"61651"	"ZNF800"	"HDAC1"
"61652"	"SFMBT1"	"HDAC1"
"61653"	"HDAC1"	"FOXK1"
"61654"	"ZBTB2"	"HDAC1"
"61655"	"RERE"	"HDAC1"
"61656"	"PHF21B"	"HDAC1"
"61657"	"WIZ"	"HDAC1"
"61658"	"PWWP2B"	"HDAC1"
"61659"	"HSPA5"	"ANGPTL2"
"61660"	"SH3GL1"	"ANGPTL2"
"61661"	"ZBTB2"	"ANGPTL2"
"61662"	"SUOX"	"ANGPTL2"
"61663"	"HLX"	"CEP120"
"61664"	"HLX"	"C18orf25"
"61665"	"TLE1"	"HLX"
"61666"	"TLE2"	"HLX"
"61667"	"TLE4"	"HLX"
"61668"	"HLX"	"AES"
"61669"	"TLE3"	"HLX"
"61670"	"HLX"	"CSNK2A2"
"61671"	"KBTBD7"	"HLX"
"61672"	"HLX"	"CSNK2A1"
"61673"	"SCAF4"	"HLX"
"61674"	"SEPHS1"	"HLX"
"61675"	"KPRP"	"HLX"
"61676"	"IFIT3"	"IFIT2"
"61677"	"IFIT2"	"HOMER3"
"61678"	"PHACTR4"	"IFIT2"
"61679"	"IFIT2"	"IFIT1"
"61680"	"IFIT2"	"CELF5"
"61681"	"IFIT2"	"BATF3"
"61682"	"POLG2"	"IFIT2"
"61683"	"IFIT2"	"GATSL3"
"61684"	"SSB"	"IFIT5"
"61685"	"IFIT5"	"CRKL"
"61686"	"KCTD6"	"IFIT5"
"61687"	"IFIT5"	"DMD"
"61688"	"RNF41"	"IFIT5"
"61689"	"NDFIP1"	"IFNGR1"
"61690"	"NOTCH3"	"IFNGR1"
"61691"	"JAK1"	"IFNGR1"
"61692"	"RHOU"	"IFNGR1"
"61693"	"SDCBP"	"IFNGR1"
"61694"	"IFNGR1"	"CD320"
"61695"	"IFNGR1"	"BMPR1A"
"61696"	"IFNGR1"	"HCLS1"
"61697"	"IFNGR1"	"FGFR1"
"61698"	"MAD2L2"	"IFNGR1"
"61699"	"RNF149"	"IFNGR1"
"61700"	"LRP10"	"IFNGR1"
"61701"	"TYW1"	"KCNS3"
"61702"	"KCNS3"	"ATP2A3"
"61703"	"KCNS3"	"DNAJC18"
"61704"	"PDE3B"	"KCNS3"
"61705"	"RETSAT"	"KCNS3"
"61706"	"PNPLA6"	"KCNS3"
"61707"	"KCNS3"	"C1orf9"
"61708"	"VANGL2"	"KCNS3"
"61709"	"RHBDF2"	"KCNS3"
"61710"	"KCNS3"	"C1orf43"
"61711"	"KCNS3"	"CYP51A1"
"61712"	"KCNS3"	"KCNB2"
"61713"	"KCNS3"	"C2CD2L"
"61714"	"PDZD8"	"KCNS3"
"61715"	"UBB"	"KCNS3"
"61716"	"REEP4"	"KCNS3"
"61717"	"TAOK2"	"KCNS3"
"61718"	"KCNS3"	"HMGCR"
"61719"	"KCNS3"	"EPHX1"
"61720"	"UPK3BL"	"KCNS3"
"61721"	"TAPT1"	"KCNS3"
"61722"	"KCNS3"	"HCLS1"
"61723"	"KCNS3"	"FNTB"
"61724"	"ZDHHC9"	"KCNS3"
"61725"	"KCNS3"	"GOLIM4"
"61726"	"SUN1"	"KCNS3"
"61727"	"KCNS3"	"KCNQ5"
"61728"	"PIGA"	"KCNS3"
"61729"	"KCNS3"	"FAM189B"
"61730"	"KCNS3"	"ANKRD13C"
"61731"	"ST7L"	"KCNS3"
"61732"	"PLD6"	"KCNS3"
"61733"	"UBB"	"APBB3"
"61734"	"COPS2"	"APBB3"
"61735"	"GPS1"	"APBB3"
"61736"	"COPS4"	"APBB3"
"61737"	"APP"	"APBB3"
"61738"	"APLP2"	"APBB3"
"61739"	"COPS3"	"APBB3"
"61740"	"RHOBTB2"	"APBB3"
"61741"	"RHOBTB1"	"APBB3"
"61742"	"COPS6"	"APBB3"
"61743"	"COPS7B"	"APBB3"
"61744"	"COPS7A"	"APBB3"
"61745"	"COPS5"	"APBB3"
"61746"	"RBM14-RBM4"	"APBB3"
"61747"	"APLP1"	"APBB3"
"61748"	"HGFAC"	"APBB3"
"61749"	"MCRS1"	"KIAA1267"
"61750"	"PHF20"	"KIAA1267"
"61751"	"KIAA1267"	"ECI2"
"61752"	"TRAF1"	"KIAA1267"
"61753"	"KIAA1267"	"DUS2L"
"61754"	"THSD4"	"KIAA1267"
"61755"	"KIAA1267"	"C12orf41"
"61756"	"KIAA1267"	"FOXK2"
"61757"	"RPLP2"	"MECP2"
"61758"	"RBM28"	"MECP2"
"61759"	"RPL7A"	"MECP2"
"61760"	"URB2"	"MECP2"
"61761"	"ZNF483"	"MECP2"
"61762"	"TAF1A"	"MECP2"
"61763"	"PDCD11"	"MECP2"
"61764"	"TFB1M"	"MECP2"
"61765"	"MECP2"	"FXR2"
"61766"	"RPL5"	"MECP2"
"61767"	"RPL6"	"MECP2"
"61768"	"TOP3A"	"MECP2"
"61769"	"MECP2"	"CEBPZ"
"61770"	"MECP2"	"HIST1H1T"
"61771"	"METAP2"	"MECP2"
"61772"	"MECP2"	"DDX31"
"61773"	"MECP2"	"CHMP1A"
"61774"	"MECP2"	"HIST2H2BF"
"61775"	"RPL18"	"MECP2"
"61776"	"MECP2"	"C3orf17"
"61777"	"MECP2"	"DDX24"
"61778"	"URB1"	"MECP2"
"61779"	"RRP8"	"MECP2"
"61780"	"MECP2"	"C10orf2"
"61781"	"MECP2"	"HIRA"
"61782"	"NVL"	"MECP2"
"61783"	"NOL8"	"MECP2"
"61784"	"TEX10"	"MECP2"
"61785"	"MECP2"	"BAZ1A"
"61786"	"MECP2"	"GTPBP4"
"61787"	"RPL8"	"MECP2"
"61788"	"ZCCHC17"	"MECP2"
"61789"	"NOC2L"	"MECP2"
"61790"	"MECP2"	"GNL2"
"61791"	"MECP2"	"KPNA4"
"61792"	"MECP2"	"KPNA3"
"61793"	"RPL27"	"MECP2"
"61794"	"MECP2"	"DDX54"
"61795"	"MINA"	"MECP2"
"61796"	"MECP2"	"EIF2AK2"
"61797"	"RPS8"	"MECP2"
"61798"	"RRP1B"	"MECP2"
"61799"	"MECP2"	"BRIX1"
"61800"	"RRP7A"	"MECP2"
"61801"	"RPL17"	"MECP2"
"61802"	"WDR36"	"MECP2"
"61803"	"RPL32"	"MECP2"
"61804"	"NSD1"	"MECP2"
"61805"	"MECP2"	"BBX"
"61806"	"RPF1"	"MECP2"
"61807"	"SRBD1"	"MECP2"
"61808"	"NKTR"	"MECP2"
"61809"	"RPL13"	"MECP2"
"61810"	"ZNF800"	"MECP2"
"61811"	"RPF2"	"MECP2"
"61812"	"TAF1D"	"MECP2"
"61813"	"MECP2"	"GTPBP10"
"61814"	"MECP2"	"DDX51"
"61815"	"MECP2"	"CENPV"
"61816"	"MECP2"	"BLM"
"61817"	"TAF1C"	"MECP2"
"61818"	"TRIP12"	"MECP2"
"61819"	"MECP2"	"C18orf21"
"61820"	"NLE1"	"MECP2"
"61821"	"TAF1B"	"MECP2"
"61822"	"MECP2"	"DGCR8"
"61823"	"TRMT1L"	"MECP2"
"61824"	"PWP2"	"MECP2"
"61825"	"RBAK"	"MECP2"
"61826"	"MINPP1"	"MGAT2"
"61827"	"VWA1"	"MINPP1"
"61828"	"UBE2V2"	"MINPP1"
"61829"	"UBE2V1"	"MINPP1"
"61830"	"MINPP1"	"C1orf87"
"61831"	"MINPP1"	"GDAP1"
"61832"	"MRS2"	"MINPP1"
"61833"	"MINPP1"	"HNRPLL"
"61834"	"NAT14"	"MINPP1"
"61835"	"RPL7A"	"NCL"
"61836"	"NCL"	"MYBBP1A"
"61837"	"RPL8"	"NCL"
"61838"	"NEK11"	"FKBP5"
"61839"	"NUP54"	"COG4"
"61840"	"NUP54"	"HOMER3"
"61841"	"NUP54"	"HOMER1"
"61842"	"NUP54"	"NDE1"
"61843"	"NUPL1"	"NUP54"
"61844"	"NUP54"	"EXOC1"
"61845"	"WDR59"	"NUP54"
"61846"	"NUP54"	"BFSP1"
"61847"	"NUP54"	"LPXN"
"61848"	"NUP54"	"CEP250"
"61849"	"NUP62"	"NUP54"
"61850"	"NUP54"	"CDK16"
"61851"	"NUP54"	"CRNN"
"61852"	"TRAF1"	"PIGA"
"61853"	"PNKP"	"ACTA2"
"61854"	"PNKP"	"HBB"
"61855"	"PNKP"	"HBA2"
"61856"	"POLG2"	"ALDH6A1"
"61857"	"POLG2"	"POLG"
"61858"	"POLG2"	"GLDC"
"61859"	"POLG2"	"ADNP"
"61860"	"POLG2"	"HOMER3"
"61861"	"PRODH"	"HSPA8"
"61862"	"PRODH"	"HSPA2"
"61863"	"PRODH"	"HSPA1L"
"61864"	"PRODH"	"BRAP"
"61865"	"PRODH"	"KPRP"
"61866"	"YWHAZ"	"RABGEF1"
"61867"	"YWHAH"	"RABGEF1"
"61868"	"RABGEF1"	"RABEP1"
"61869"	"RABGEF1"	"RABEP2"
"61870"	"RABGEF1"	"BIRC2"
"61871"	"TAX1BP1"	"RABGEF1"
"61872"	"RBCK1"	"RABGEF1"
"61873"	"UBR1"	"RABGEF1"
"61874"	"RABGEF1"	"CLINT1"
"61875"	"SLMAP"	"RABGEF1"
"61876"	"TRAF2"	"RABGEF1"
"61877"	"RNF31"	"RABGEF1"
"61878"	"RABGEF1"	"GAK"
"61879"	"RABGEF1"	"HERC1"
"61880"	"SHARPIN"	"RABGEF1"
"61881"	"RABGEF1"	"KCTD10"
"61882"	"VTI1B"	"RABGEF1"
"61883"	"RABGEF1"	"CYHR1"
"61884"	"RABGEF1"	"OTUD5"
"61885"	"RABGEF1"	"HGFAC"
"61886"	"RABGEF1"	"RAB21"
"61887"	"SHMT2"	"SHMT1"
"61888"	"SHMT1"	"DPYSL5"
"61889"	"SHMT1"	"ARNT"
"61890"	"SLC18A1"	"C10orf58"
"61891"	"SLC18A1"	"MBOAT7"
"61892"	"SLC18A1"	"HLA-C"
"61893"	"SLC18A1"	"SLC12A9"
"61894"	"SLC18A1"	"PDK1"
"61895"	"SLC18A1"	"GJC1"
"61896"	"SLC18A1"	"PTRH2"
"61897"	"SLC18A1"	"AGPAT3"
"61898"	"SLC29A1"	"SLC18A1"
"61899"	"ZMPSTE24"	"SLC18A1"
"61900"	"SLC18A1"	"NEK4"
"61901"	"TTK"	"SLC18A1"
"61902"	"SLC18A1"	"NOMO1"
"61903"	"SLC18A1"	"KIAA0368"
"61904"	"UBXN8"	"SLC18A1"
"61905"	"SLC18A1"	"ANKRD13C"
"61906"	"SLC18A1"	"RHBDD3"
"61907"	"SLC18A1"	"ARF5"
"61908"	"SLC18A1"	"ATPBD4"
"61909"	"SLC18A1"	"LIMK2"
"61910"	"SLC18A1"	"EVI5L"
"61911"	"SLC18A1"	"FAM105B"
"61912"	"TMEM85"	"SLC18A1"
"61913"	"SLC18A1"	"C15orf24"
"61914"	"SLC18A1"	"NR2F2"
"61915"	"SLC18A1"	"NDUFC2"
"61916"	"SPPL3"	"SLC18A1"
"61917"	"SLC18A1"	"PXMP2"
"61918"	"SLC18A1"	"FAM8A1"
"61919"	"SLC18A1"	"FAM91A1"
"61920"	"SLC18A1"	"SFXN5"
"61921"	"SLC18A1"	"PTPMT1"
"61922"	"SLC18A1"	"COX4NB"
"61923"	"SLC18A1"	"BCL2L11"
"61924"	"SLC18A1"	"FADS1"
"61925"	"SLC23A3"	"PRODH"
"61926"	"TUBGCP2"	"SLC37A3"
"61927"	"SLC37A3"	"ATP12A"
"61928"	"SLC37A3"	"CLTCL1"
"61929"	"SLC37A3"	"SLC25A30"
"61930"	"SLC37A3"	"ARL15"
"61931"	"SLC37A3"	"DAAM1"
"61932"	"SLC37A3"	"APOB"
"61933"	"SLC37A3"	"SLC25A46"
"61934"	"SLC37A3"	"C2orf28"
"61935"	"SLC5A3"	"SLC37A3"
"61936"	"SLC37A3"	"CAV1"
"61937"	"SLC37A3"	"C13orf1"
"61938"	"SLC37A3"	"CSNK1G3"
"61939"	"SLC37A3"	"DNAJC19"
"61940"	"SLC37A3"	"NR2F2"
"61941"	"SLC37A3"	"MTX3"
"61942"	"TDRKH"	"ARHGAP19"
"61943"	"YWHAH"	"ARHGAP19"
"61944"	"LRP2"	"ARHGAP19"
"61945"	"FHIT"	"ARHGAP19"
"61946"	"DCAF16"	"ARHGAP19"
"61947"	"RNF41"	"ARHGAP19"
"61948"	"SRSF4"	"LARP7"
"61949"	"SRSF4"	"NAT10"
"61950"	"YBX2"	"SRSF4"
"61951"	"SRSF4"	"C16orf88"
"61952"	"SRSF4"	"SRRM1"
"61953"	"SRSF4"	"DDX24"
"61954"	"SRSF4"	"RPS10"
"61955"	"SRSF4"	"PRPF4B"
"61956"	"SRSF4"	"SF3B2"
"61957"	"SRSF4"	"CCDC86"
"61958"	"ZNF768"	"SRSF4"
"61959"	"ZNF574"	"SRSF4"
"61960"	"SRSF4"	"PTCD1"
"61961"	"ZNF70"	"SRSF4"
"61962"	"SRSF4"	"C17orf85"
"61963"	"ZFP62"	"SRSF4"
"61964"	"ZNF629"	"SRSF4"
"61965"	"ZNF512"	"SRSF4"
"61966"	"SRSF4"	"DKC1"
"61967"	"SRSF4"	"MRPL45"
"61968"	"SRSF4"	"SRRM2"
"61969"	"ZNF646"	"SRSF4"
"61970"	"SRSF4"	"SON"
"61971"	"SRSF4"	"RBBP6"
"61972"	"SRSF4"	"CENPO"
"61973"	"ZC3H14"	"SRSF4"
"61974"	"SRSF4"	"DDX27"
"61975"	"SRSF4"	"ENOX1"
"61976"	"SRSF4"	"ENOX2"
"61977"	"ZNF498"	"SRSF4"
"61978"	"SRSF4"	"GLYR1"
"61979"	"SRSF4"	"RBMXL1"
"61980"	"ZNF638"	"SRSF4"
"61981"	"SRSF4"	"RBM23"
"61982"	"SRSF4"	"RSL1D1"
"61983"	"SRSF4"	"HP1BP3"
"61984"	"SRSF4"	"DDX31"
"61985"	"SRSF4"	"MRPL9"
"61986"	"SRSF4"	"NOP16"
"61987"	"SRSF4"	"DDX10"
"61988"	"SRSF4"	"PATZ1"
"61989"	"SRSF4"	"MTERFD1"
"61990"	"SRSF4"	"MRPL32"
"61991"	"SRSF4"	"MRPL11"
"61992"	"SRSF4"	"SCAF1"
"61993"	"SRSF4"	"RSBN1L"
"61994"	"SRSF4"	"ACIN1"
"61995"	"SRSF4"	"RBM5"
"61996"	"SRSF4"	"GNL2"
"61997"	"ZC3HAV1"	"SRSF4"
"61998"	"SRSF4"	"GPATCH8"
"61999"	"SRSF4"	"HIST1H2AG"
"62000"	"SRSF4"	"HIST2H2AB"
"62001"	"SRSF4"	"MRPL40"
"62002"	"SRSF4"	"MRPS10"
"62003"	"SRSF4"	"DAP3"
"62004"	"SRSF4"	"MRPL1"
"62005"	"SRSF4"	"MEPCE"
"62006"	"SRSF4"	"PAK1IP1"
"62007"	"SRSF4"	"RRP15"
"62008"	"SRSF4"	"PPIG"
"62009"	"SRSF4"	"LARP1"
"62010"	"SRSF4"	"LARP1B"
"62011"	"SRSF4"	"CDK12"
"62012"	"SRSF4"	"CDK13"
"62013"	"SRSF4"	"MRPL22"
"62014"	"SRSF4"	"RRP8"
"62015"	"SRSF4"	"CTCF"
"62016"	"SRSF4"	"MRPS5"
"62017"	"SRSF4"	"MRPS7"
"62018"	"SRSF4"	"BMS1"
"62019"	"ZNF777"	"SRSF4"
"62020"	"SRSF4"	"MRPL24"
"62021"	"ZNF184"	"SRSF4"
"62022"	"WHSC1"	"SRSF4"
"62023"	"SRSF4"	"RPS15"
"62024"	"SRSF4"	"MINA"
"62025"	"SRSF4"	"CLK1"
"62026"	"SRSF4"	"CLK2"
"62027"	"SRSF4"	"CLK4"
"62028"	"SRSF4"	"CENPQ"
"62029"	"SRSF4"	"DHX57"
"62030"	"SRSF4"	"NOC3L"
"62031"	"SRSF4"	"BRIX1"
"62032"	"SRSF4"	"DDX54"
"62033"	"SRSF4"	"CLK3"
"62034"	"SRSF4"	"CHERP"
"62035"	"SRSF4"	"BUD13"
"62036"	"TRAF1"	"SRSF4"
"62037"	"SRSF4"	"GZF1"
"62038"	"SRSF4"	"MRPL55"
"62039"	"SRSF4"	"SRSF11"
"62040"	"SRSF4"	"PNN"
"62041"	"ZNF445"	"SRSF4"
"62042"	"ZNF354A"	"SRSF4"
"62043"	"ZBTB24"	"SRSF4"
"62044"	"SRSF4"	"MRPL47"
"62045"	"U2SURP"	"SRSF4"
"62046"	"SRSF4"	"SREK1"
"62047"	"SRSF4"	"MRPL16"
"62048"	"ZNF771"	"SRSF4"
"62049"	"ZBTB11"	"SRSF4"
"62050"	"SRSF4"	"AATF"
"62051"	"SRSF4"	"GLE1"
"62052"	"SRSF4"	"CPSF4"
"62053"	"USP42"	"SRSF4"
"62054"	"SRSF4"	"NSA2"
"62055"	"YTHDC1"	"SRSF4"
"62056"	"SRSF4"	"MRPS35"
"62057"	"SRSF4"	"PRDM10"
"62058"	"SRSF4"	"PRDM15"
"62059"	"SRSF4"	"NKTR"
"62060"	"SRSF4"	"PURA"
"62061"	"SRSF4"	"IMP4"
"62062"	"SRSF4"	"MRPL15"
"62063"	"SRSF4"	"MLL"
"62064"	"TRIM71"	"SRSF4"
"62065"	"SRSF8"	"SRSF4"
"62066"	"SRSF4"	"MRPL28"
"62067"	"SRSF4"	"SRSF3"
"62068"	"SRSF4"	"NSUN4"
"62069"	"SRSF4"	"MRPS30"
"62070"	"SRSF4"	"APOBEC3F"
"62071"	"TOE1"	"SRSF4"
"62072"	"SRSF4"	"GCFC1"
"62073"	"SRSF4"	"SRSF12"
"62074"	"TOPORS"	"SRSF4"
"62075"	"ZNF689"	"SRSF4"
"62076"	"ZNF48"	"SRSF4"
"62077"	"ZC3H10"	"SRSF4"
"62078"	"SRSF4"	"MRPL51"
"62079"	"THSD4"	"HSPA8"
"62080"	"ZNF195"	"THSD4"
"62081"	"ZNF609"	"THSD4"
"62082"	"THSD4"	"KANK2"
"62083"	"THSD4"	"HELZ"
"62084"	"THSD4"	"RIPK1"
"62085"	"THSD4"	"ALMS1"
"62086"	"ZNF281"	"THSD4"
"62087"	"VSIG8"	"THSD4"
"62088"	"THSD4"	"ETV3"
"62089"	"USP54"	"THSD4"
"62090"	"THSD4"	"CEP164"
"62091"	"THSD4"	"HOXD13"
"62092"	"THSD4"	"MLF1"
"62093"	"THSD4"	"KRBA1"
"62094"	"ZNF223"	"TRIM28"
"62095"	"ZNF223"	"HAUS1"
"62096"	"ZNF92"	"ZNF223"
"62097"	"ZNF284"	"ZNF223"
"62098"	"ZNF714"	"ZNF223"
"62099"	"ZNF430"	"ZNF223"
"62100"	"ZNF223"	"STRN4"
"62101"	"ZNF223"	"EHMT2"
"62102"	"ZNF223"	"HECTD1"
"62103"	"ZNF223"	"HAUS4"
"62104"	"ZNF223"	"VPRBP"
"62105"	"ZNF223"	"ANKRD52"
"62106"	"ZNF223"	"HERC1"
"62107"	"ZNF223"	"TRIM26"
"62108"	"ZNF223"	"CENPB"
"62109"	"ZNF644"	"ZNF223"
"62110"	"ZNF223"	"KIAA0802"
"62111"	"ZNF223"	"TRIM41"
"62112"	"ZNF223"	"TRIM39"
"62113"	"ZNF71"	"ZNF354A"
"62114"	"ZNF71"	"ZFP2"
"62115"	"ZNF71"	"RBM28"
"62116"	"ZNF71"	"FTSJ3"
"62117"	"ZNF71"	"ZNF70"
"62118"	"ZNF71"	"DDX27"
"62119"	"ZNF71"	"HIST1H1T"
"62120"	"ZNF71"	"HIST1H1A"
"62121"	"ZNF71"	"RRP8"
"62122"	"ZNF71"	"NVL"
"62123"	"ZNF71"	"ZFP62"
"62124"	"ZNF71"	"KIAA0020"
"62125"	"ZNF71"	"RPL36AL"
"62126"	"ZNF71"	"ZNF184"
"62127"	"ZNF71"	"ZAK"
"62128"	"ZNF71"	"CENPI"
"62129"	"ZNF71"	"RPL17"
"62130"	"ZNF71"	"RPS27A"
"62131"	"ZNF71"	"ZBTB24"
"62132"	"ZNF71"	"DDX31"
"62133"	"ZNF71"	"CENPN"
"62134"	"ZNF71"	"FBXO11"
"62135"	"ZNF71"	"WDR36"
"62136"	"ZNF71"	"GZF1"
"62137"	"ZNF71"	"ZNF22"
"62138"	"ZNF71"	"PWP2"
"62139"	"ZNF75A"	"ZNF71"
"62140"	"TRAPPC10"	"BTBD1"
"62141"	"GPS1"	"BTBD1"
"62142"	"TRAPPC4"	"BTBD1"
"62143"	"COPS4"	"BTBD1"
"62144"	"CUL3"	"BTBD1"
"62145"	"TRAPPC9"	"BTBD1"
"62146"	"PPIA"	"BTBD1"
"62147"	"COPS7A"	"BTBD1"
"62148"	"BTBD2"	"BTBD1"
"62149"	"MLLT3"	"C20orf114"
"62150"	"MLLT1"	"C20orf114"
"62151"	"LASS2"	"C3AR1"
"62152"	"VMA21"	"C3AR1"
"62153"	"MBOAT7"	"C3AR1"
"62154"	"C3AR1"	"ATP2B4"
"62155"	"C3AR1"	"ATP2B3"
"62156"	"SCCPDH"	"C3AR1"
"62157"	"TMEM160"	"C3AR1"
"62158"	"NDUFAF1"	"C3AR1"
"62159"	"C3AR1"	"ARV1"
"62160"	"ECSIT"	"C3AR1"
"62161"	"C3AR1"	"ATP7A"
"62162"	"GOLGA5"	"C3AR1"
"62163"	"ZDHHC17"	"C3AR1"
"62164"	"ZDHHC13"	"C3AR1"
"62165"	"REEP5"	"C3AR1"
"62166"	"ELOVL2"	"C3AR1"
"62167"	"C3AR1"	"AGPAT4"
"62168"	"SGK196"	"C3AR1"
"62169"	"DGAT1"	"C3AR1"
"62170"	"HMOX2"	"C3AR1"
"62171"	"SC4MOL"	"C3AR1"
"62172"	"CUX1"	"C3AR1"
"62173"	"TMEM68"	"C3AR1"
"62174"	"FITM2"	"C3AR1"
"62175"	"PTPN1"	"C3AR1"
"62176"	"C3AR1"	"ATP5F1"
"62177"	"SLC39A1"	"C3AR1"
"62178"	"C4orf32"	"C3AR1"
"62179"	"VEZT"	"C3AR1"
"62180"	"SLC35F5"	"C3AR1"
"62181"	"SLC7A2"	"C3AR1"
"62182"	"SLC25A17"	"C3AR1"
"62183"	"TMEM57"	"C3AR1"
"62184"	"LPHN3"	"C3AR1"
"62185"	"ZDHHC6"	"C3AR1"
"62186"	"SC5DL"	"C3AR1"
"62187"	"FAM115C"	"C3AR1"
"62188"	"PTPLB"	"C3AR1"
"62189"	"GPR89A"	"C3AR1"
"62190"	"LPAR1"	"C3AR1"
"62191"	"NDUFB3"	"C3AR1"
"62192"	"SLC19A2"	"C3AR1"
"62193"	"RAB2A"	"C3AR1"
"62194"	"TMPPE"	"C3AR1"
"62195"	"TMEM48"	"C3AR1"
"62196"	"HELLS"	"C3AR1"
"62197"	"RDH14"	"C3AR1"
"62198"	"ZFPL1"	"C3AR1"
"62199"	"SLC35F2"	"C3AR1"
"62200"	"SNX14"	"C3AR1"
"62201"	"LETMD1"	"C3AR1"
"62202"	"LPCAT3"	"C3AR1"
"62203"	"UBE2Q1"	"C3AR1"
"62204"	"USP22"	"C3AR1"
"62205"	"PEX13"	"C3AR1"
"62206"	"PTPN2"	"C3AR1"
"62207"	"YIPF3"	"C3AR1"
"62208"	"TMEM56"	"C3AR1"
"62209"	"TSPAN15"	"C3AR1"
"62210"	"LASS6"	"C3AR1"
"62211"	"LASS5"	"C3AR1"
"62212"	"C3AR1"	"ATP9A"
"62213"	"ST7"	"C3AR1"
"62214"	"TMEM63A"	"C3AR1"
"62215"	"UXS1"	"C3AR1"
"62216"	"NDUFC2"	"C3AR1"
"62217"	"C3AR1"	"B4GALT7"
"62218"	"SPPL3"	"C3AR1"
"62219"	"CCDC115"	"C3AR1"
"62220"	"NAT14"	"C3AR1"
"62221"	"TMEM120B"	"C3AR1"
"62222"	"ORC5"	"C3AR1"
"62223"	"EDA"	"C3AR1"
"62224"	"PLD6"	"C3AR1"
"62225"	"PEX16"	"C3AR1"
"62226"	"ZDHHC21"	"C3AR1"
"62227"	"NDUFB5"	"C3AR1"
"62228"	"MFSD8"	"C3AR1"
"62229"	"PUM2"	"CELF5"
"62230"	"PUM1"	"CELF5"
"62231"	"PAIP1"	"CELF5"
"62232"	"IARS2"	"CELF5"
"62233"	"TNKS2"	"CELF5"
"62234"	"TNKS"	"CELF5"
"62235"	"PAIP2B"	"CELF5"
"62236"	"ERI3"	"CELF5"
"62237"	"CELF5"	"ATXN2"
"62238"	"CELF5"	"CASC3"
"62239"	"SMAP2"	"CELF5"
"62240"	"HSP90AA1"	"CLK3"
"62241"	"HSP90AB3P"	"CLK3"
"62242"	"YWHAZ"	"CLK3"
"62243"	"YWHAH"	"CLK3"
"62244"	"RBBP6"	"CLK3"
"62245"	"FKBP5"	"CLK3"
"62246"	"LRRC1"	"CLK3"
"62247"	"GPATCH8"	"CLK3"
"62248"	"USP9Y"	"CLK3"
"62249"	"CLK3"	"CDC37"
"62250"	"UBE2O"	"CLK3"
"62251"	"ZC3H18"	"CLK3"
"62252"	"ZNF638"	"CLK3"
"62253"	"MEPCE"	"CLK3"
"62254"	"PPIG"	"CLK3"
"62255"	"SIRT1"	"CLK3"
"62256"	"CLK3"	"CLK2"
"62257"	"TNPO3"	"CLK3"
"62258"	"PNN"	"CLK3"
"62259"	"HNRNPUL2"	"CLK3"
"62260"	"YTHDC1"	"CLK3"
"62261"	"TOPORS"	"CLK3"
"62262"	"FAM192A"	"CLK3"
"62263"	"PSME3"	"CLK3"
"62264"	"PPHLN1"	"CLK3"
"62265"	"CLK3"	"AHCYL2"
"62266"	"CLK3"	"AHCYL1"
"62267"	"JMJD6"	"CLK3"
"62268"	"SNRNP70"	"CLK3"
"62269"	"PRPF38B"	"CLK3"
"62270"	"TRA2B"	"CLK3"
"62271"	"ZC3H13"	"CLK3"
"62272"	"KIAA1429"	"CLK3"
"62273"	"SRSF8"	"CLK3"
"62274"	"SRSF3"	"CLK3"
"62275"	"SRSF12"	"CLK3"
"62276"	"SRSF10"	"CLK3"
"62277"	"RABAC1"	"CYP2A6"
"62278"	"CYP2C9"	"CYP2C19"
"62279"	"CYP2C9"	"CD97"
"62280"	"RPL26L1"	"DGCR8"
"62281"	"RPLP2"	"DGCR8"
"62282"	"DGCR8"	"CCDC137"
"62283"	"DGCR8"	"C16orf88"
"62284"	"RBM28"	"DGCR8"
"62285"	"DROSHA"	"DGCR8"
"62286"	"DGCR8"	"DDX24"
"62287"	"FTSJ3"	"DGCR8"
"62288"	"ZNF483"	"DGCR8"
"62289"	"ZNF668"	"DGCR8"
"62290"	"ZNF624"	"DGCR8"
"62291"	"ZNF7"	"DGCR8"
"62292"	"ZNF70"	"DGCR8"
"62293"	"UPF1"	"DGCR8"
"62294"	"SRPK1"	"DGCR8"
"62295"	"SRPK2"	"DGCR8"
"62296"	"DKC1"	"DGCR8"
"62297"	"GZF1"	"DGCR8"
"62298"	"STAU2"	"DGCR8"
"62299"	"STAU1"	"DGCR8"
"62300"	"PABPC4L"	"DGCR8"
"62301"	"DGCR8"	"DDX27"
"62302"	"GLYR1"	"DGCR8"
"62303"	"MAK16"	"DGCR8"
"62304"	"HP1BP3"	"DGCR8"
"62305"	"REXO4"	"DGCR8"
"62306"	"DGCR8"	"DDX31"
"62307"	"NOP16"	"DGCR8"
"62308"	"DGCR8"	"CENPQ"
"62309"	"RRP8"	"DGCR8"
"62310"	"PAPD5"	"DGCR8"
"62311"	"ZC3HAV1"	"DGCR8"
"62312"	"NVL"	"DGCR8"
"62313"	"TTF1"	"DGCR8"
"62314"	"ZFP62"	"DGCR8"
"62315"	"SURF6"	"DGCR8"
"62316"	"GTPBP4"	"DGCR8"
